Target_genes	Maz|Average	SRX188821|CH12	SRX13440023|ES_cells	SRX13440024|ES_cells	SRX13440027|ES_cells	SRX13440028|ES_cells	SRX13440031|ES_cells	SRX13440032|ES_cells	SRX13476144|ES_cells	SRX13476145|ES_cells	SRX13476146|ES_cells	SRX13476150|ES_cells	SRX20088447|ES_cells	SRX20088448|ES_cells	SRX20088449|ES_cells	SRX20088450|ES_cells	SRX20088485|ES_cells	SRX20088486|ES_cells	SRX20088487|ES_cells	SRX20088488|ES_cells	SRX20088489|ES_cells	SRX20088490|ES_cells	SRX20088491|ES_cells	SRX20088492|ES_cells	SRX188810|MEL	SRX13440025|mESC_derived_neural_cells	SRX13440026|mESC_derived_neural_cells	SRX13440029|mESC_derived_neural_cells	SRX13440030|mESC_derived_neural_cells	SRX13440033|mESC_derived_neural_cells	SRX13476147|mESC_derived_neural_cells	SRX13476148|mESC_derived_neural_cells	SRX13476149|mESC_derived_neural_cells	SRX13476151|mESC_derived_neural_cells	SRX15939544|NIH/3T3	SRX15939566|NIH/3T3	STRING
Trim28	43.742857	146	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	197	0	0	149	168	97	0	0	0	109	224	309	0
Nptxr	43.742857	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	143	0	0	0	0	86	0	0	176	317	0	0	0	0	175	97	180	0
Fgf17	43.742857	274	0	0	0	193	0	155	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	311	0	0	150	321	0	0	0	0	0	0	0	0
Txndc5	43.714286	0	0	0	0	110	81	211	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	136	0	0	107	232	0	0	0	0	171	116	226	0
Rhbdf1	43.714286	375	0	0	0	119	124	150	0	0	0	109	111	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	136	0	0	0	0	0	90	132	0
Lrrc2	43.714286	0	0	0	0	0	0	0	0	0	0	0	580	0	229	0	0	201	72	178	0	0	0	0	0	0	0	91	179	0	0	0	0	0	0	0	0
Itga3	43.714286	264	0	0	0	92	0	0	0	0	0	83	123	0	0	0	0	0	0	0	0	0	0	0	0	143	0	174	363	94	0	0	0	194	0	0	0
8030462N17Rik	43.714286	155	0	0	0	119	0	144	0	0	0	141	0	0	98	0	0	0	0	0	0	0	0	0	229	0	0	84	116	0	0	0	0	0	276	168	0
Wdr11	43.685714	207	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	195	0	0	0	0	53	244	313	0
Rrad	43.685714	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	192	0	0	0	0	114	0	0	0	130	0	0	0
Dus2	43.685714	236	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	428	0	0	166	218	0	0	0	0	0	108	235	0
Ddx28	43.685714	236	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	428	0	0	166	218	0	0	0	0	0	108	235	0
Strbp	43.657143	219	0	0	0	0	0	78	0	0	0	141	77	0	0	0	0	0	0	91	0	0	0	0	126	84	0	117	232	123	0	0	0	92	81	67	0
Plxnc1	43.657143	101	0	0	0	106	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	271	286	188	0	0	0	121	0	0	0
Gja3	43.657143	144	0	0	0	121	154	146	0	0	0	195	136	0	0	0	0	0	0	143	0	0	0	0	124	0	0	114	115	0	0	0	0	136	0	0	0
Rab37	43.628571	395	0	0	0	132	117	96	0	0	0	0	0	0	0	0	0	284	0	136	0	0	0	0	193	0	0	0	174	0	0	0	0	0	0	0	0
Prm3	43.628571	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	127	631	0	0	0	0	135	135	236	0
Gpr153	43.628571	107	0	0	0	0	0	170	0	0	0	0	121	0	112	0	0	0	0	0	0	0	0	0	144	0	0	148	203	0	0	0	0	0	270	252	0
Espn	43.571429	129	0	0	0	131	0	0	0	0	0	110	103	0	0	0	0	0	0	0	0	0	0	0	304	89	0	173	359	0	0	0	0	127	0	0	0
Ptch2	43.542857	0	0	0	0	141	0	100	0	0	0	98	82	0	0	0	0	83	0	0	0	0	0	0	0	123	0	216	394	139	0	0	0	148	0	0	0
Mis18bp1	43.542857	291	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	267	0	0	153	390	0	0	0	0	0	0	273	0
Eepd1	43.542857	0	0	0	0	0	0	92	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	326	564	199	0	0	0	165	0	0	0
Uchl3	43.514286	170	0	0	0	0	0	127	0	0	0	0	100	0	134	0	0	0	0	0	0	0	0	0	162	0	0	215	384	0	0	0	0	111	0	120	0
Tcea3	43.514286	0	0	0	0	136	0	162	0	0	0	141	109	0	137	0	0	151	0	175	0	0	0	0	0	0	0	0	159	0	0	0	0	0	221	132	0
Ppp4r2	43.514286	0	0	0	0	199	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	167	314	0	0	0	0	0	291	286	0
Pik3cb	43.514286	0	0	0	0	91	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	361	438	0	0	0	0	93	115	227	0
Brd4	43.514286	89	0	0	0	111	0	171	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	81	0	0	138	378	0	0	0	0	0	199	272	0
Zfp516	43.485714	0	0	0	0	108	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	136	0	173	261	103	0	0	0	0	262	268	0
Wdr70	43.485714	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	86	83	0	0	0	0	0	257	348	0
Rpn2	43.485714	169	0	0	0	72	0	138	0	0	0	0	108	0	94	0	0	0	0	0	0	0	0	0	115	0	0	114	203	0	0	0	0	134	148	227	0
Phrf1	43.485714	319	0	0	0	0	0	0	0	0	0	0	132	0	99	0	0	0	0	0	0	0	0	0	212	0	0	149	220	0	0	0	0	0	117	274	0
Mroh8	43.485714	169	0	0	0	72	0	138	0	0	0	0	108	0	94	0	0	0	0	0	0	0	0	0	115	0	0	114	203	0	0	0	0	134	148	227	0
Alk	43.485714	0	0	0	0	0	121	0	0	0	0	236	0	0	0	0	0	115	0	139	0	0	0	0	0	174	0	165	339	110	0	0	0	123	0	0	0
Wdr48	43.457143	149	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	143	267	0	0	0	0	189	184	187	0
Npm3	43.457143	256	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	198	0	0	0	0	0	217	346	0
Hfm1	43.457143	0	0	0	0	135	95	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	495	211	0	0	0	133	0	0	0
Fech	43.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	215	0	0	287	374	0	0	0	0	206	129	189	0
U2af2	43.400000	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	94	239	0	0	0	0	0	204	426	0
Rap1gap2	43.400000	270	0	0	0	128	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	247	453	0	0	0	0	0	92	0	0
Birc3	43.400000	442	0	0	0	169	126	98	0	0	0	168	111	0	0	0	0	0	0	82	0	0	0	0	229	0	0	0	94	0	0	0	0	0	0	0	0
Adcy3	43.400000	0	0	0	0	119	185	186	0	0	0	147	237	0	0	0	0	99	0	97	0	0	0	0	0	0	0	0	230	141	0	0	0	78	0	0	0
Zbtb41	43.371429	91	0	0	0	82	0	122	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	108	0	0	205	218	0	0	0	0	192	195	222	0
Tox3	43.371429	0	0	0	0	115	101	211	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	303	264	182	0	0	0	118	0	0	0
Slc10a3	43.371429	0	282	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	253	0	142	0	0	0	0	219	76	176	0
Jrk	43.371429	235	0	0	0	0	0	0	0	0	0	0	245	0	274	0	0	0	0	0	0	0	0	0	202	0	0	0	170	0	0	0	0	0	131	261	0
Ica1	43.371429	0	0	0	0	81	162	148	0	0	0	86	114	0	0	0	0	94	0	109	0	0	0	0	114	79	0	184	249	0	0	0	0	98	0	0	0
Gm44504	43.371429	0	282	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	253	0	142	0	0	0	0	219	76	176	0
Ifngr2	43.342857	150	0	0	0	0	0	98	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	183	396	0	0	0	0	75	109	198	0
Hax1	43.342857	212	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	197	355	0	0	0	0	0	132	127	0
Fzd3	43.342857	0	0	0	0	123	0	104	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	129	0	312	469	0	0	0	0	129	0	168	0
Fbxo16	43.342857	0	0	0	0	123	0	104	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	129	0	312	469	0	0	0	0	129	0	168	0
Egr2	43.342857	208	0	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	113	177	0	242	213	170	0	0	0	93	0	101	0
Tnip2	43.314286	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	154	159	0	232	286	0	0	0	0	186	0	287	0
Tbc1d7	43.314286	285	0	0	0	0	0	0	0	0	0	0	181	0	111	0	0	0	0	0	0	0	0	0	419	0	0	143	0	0	0	0	0	0	159	218	0
Smg9	43.314286	170	0	0	0	0	0	120	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	112	0	0	169	317	0	0	0	0	191	0	294	0
Exoc2	43.314286	266	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	100	0	69	0	0	0	0	118	0	0	64	140	0	0	0	0	155	130	330	0
F3	43.257143	143	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	68	0	121	255	131	0	0	0	189	212	297	0
Atic	43.257143	163	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	324	0	0	166	265	0	0	0	0	187	97	208	0
Adk	43.257143	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	143	0	0	107	355	137	0	302	0	114	0	127	0
Zfp959	43.228571	280	0	0	0	0	0	128	0	0	0	0	146	0	89	0	0	0	0	97	0	0	0	0	166	0	0	0	154	0	0	0	0	0	190	263	0
Tmem131	43.228571	124	0	0	0	0	0	90	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	151	134	0	196	305	0	0	0	0	157	142	111	0
Slc12a5	43.228571	95	0	0	0	109	0	102	0	0	0	116	162	0	0	0	0	0	0	112	0	0	0	0	336	82	0	0	187	0	0	0	0	93	0	119	0
Prdx3	43.228571	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	159	349	0	0	0	0	142	131	211	0
Pi4k2b	43.228571	0	0	0	0	0	0	122	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	560	113	0	0	0	105	165	215	0
Mcur1	43.228571	138	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	146	0	0	224	259	104	0	0	0	138	129	111	0
Tinf2	43.200000	296	0	0	0	0	0	0	0	0	0	0	98	0	104	0	0	0	0	0	0	0	0	0	372	0	0	128	154	0	0	0	0	92	0	268	0
Sybu	43.200000	144	0	0	0	99	0	118	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	453	165	0	0	0	218	0	0	0
Ppp2r5d	43.200000	0	0	0	0	0	136	188	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	86	133	0	103	208	0	0	0	0	167	160	152	0
Fhdc1	43.200000	0	0	0	0	0	88	125	0	0	0	154	0	0	0	0	0	192	0	161	0	0	0	0	0	0	0	0	178	0	0	0	0	118	287	209	0
Edc4	43.200000	414	0	0	0	0	0	0	0	0	0	0	0	93	152	0	0	0	0	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	163	159	0
Adamts14	43.200000	157	0	0	0	153	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	374	0	0	0	0	0	165	428	0
Atad2b	43.171429	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	172	214	0	0	0	0	84	216	284	0
Arih1	43.171429	197	0	0	0	0	78	109	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	138	0	0	154	214	0	0	0	0	100	137	263	0
Tmem95	43.142857	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	67	226	0	0	0	0	110	183	167	0
Kctd11	43.142857	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	67	226	0	0	0	0	110	183	167	0
Acp6	43.142857	302	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	173	122	0	0	0	0	0	97	209	0
Tchp	43.114286	393	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	449	0	0	65	187	0	0	0	0	0	109	171	0
Pex12	43.114286	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	79	0	0	275	0	0	0	0	150	83	175	0
Dnm1l	43.114286	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	97	0	129	427	0	0	0	0	118	225	124	0
Apc	43.114286	112	0	0	0	0	0	0	0	0	0	120	120	0	0	0	0	0	0	0	0	0	0	0	114	127	0	141	249	0	0	0	0	116	161	249	0
Ap2b1	43.114286	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	79	0	0	275	0	0	0	0	150	83	175	0
Prss23	43.085714	0	0	0	0	0	92	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	344	97	0	0	0	134	294	280	0
Clic1	43.085714	456	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	82	183	0	0	0	0	0	195	240	0
Bsn	43.057143	0	0	0	0	118	138	132	0	0	0	0	65	0	94	0	0	116	0	162	0	0	0	0	0	0	0	230	452	0	0	0	0	0	0	0	0
Scp2	43.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	399	462	0	0	0	0	220	135	207	0
Pex16	43.028571	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	106	0	0	0	0	286	0	0	159	239	0	0	0	0	0	145	232	0
Large2	43.028571	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	106	0	0	0	0	286	0	0	159	239	0	0	0	0	0	145	232	0
Katnb1	43.028571	299	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	270	0	0	128	235	97	0	0	0	101	0	259	0
Hk2	43.028571	147	0	0	0	186	0	142	0	0	0	0	216	0	131	0	0	0	0	0	0	0	0	0	120	0	0	0	181	0	0	0	0	0	113	270	0
Fbxo46	43.000000	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	151	0	175	319	0	0	0	0	161	0	121	0
Fbn1	43.000000	0	0	0	106	0	99	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	272	279	161	0	0	0	262	0	0	0
Dnajb1	43.000000	174	0	0	0	0	0	103	0	0	0	0	120	0	0	0	0	0	0	90	0	0	0	0	204	104	0	173	229	142	0	0	0	0	0	166	0
Bhmg1	43.000000	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	151	0	175	319	0	0	0	0	161	0	121	0
Zfp944	42.971429	172	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	117	0	0	272	363	0	0	0	0	133	128	217	0
Zfp758	42.971429	172	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	117	0	0	272	363	0	0	0	0	133	128	217	0
Scn1b	42.971429	88	0	0	0	94	0	91	0	0	0	103	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	900	0
Ppib	42.971429	137	0	0	0	117	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	163	0	0	258	280	0	0	0	0	174	117	181	0
Emid1	42.942857	826	0	0	0	91	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	130	235	0	0	0	0	0	0	0	0
Zfp26	42.914286	230	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0	0	0	216	0	0	0	0	0	133	289	0
Ptger1	42.914286	206	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	616	0	0	167	220	0	0	0	0	0	94	0	0
Napepld	42.914286	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	103	0	0	197	290	96	0	0	0	158	201	223	0
Lrp3	42.914286	0	0	0	0	123	0	117	0	0	0	0	280	0	164	0	0	226	0	186	0	0	0	0	0	0	0	146	260	0	0	0	0	0	0	0	0
Itprip	42.914286	221	0	0	0	0	0	70	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	343	0	0	124	232	0	0	0	0	0	128	250	0
Hsd17b7	42.914286	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	0	0	171	0	0	0	0	0	130	104	0
Galnt13	42.914286	0	0	0	0	137	107	181	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	305	160	0	0	0	0	0	267	0
Adcy5	42.914286	0	0	0	0	213	213	97	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	383	98	0	0	0	110	0	0	0
Rbks	42.857143	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0	145	0	0	0	0	79	143	284	0
Mrc2	42.857143	0	0	0	0	142	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	397	683	0
Exoc6	42.857143	0	0	0	0	132	0	170	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	249	450	0	0	0	0	133	136	147	0
Babam2	42.857143	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0	145	0	0	0	0	79	143	284	0
Trp73	42.828571	270	0	0	0	210	0	274	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	153	0	0	0	0	0	122	85	0
Kdm1a	42.800000	257	0	0	0	0	0	88	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	359	0	0	165	152	77	0	0	0	0	154	173	0
Gm10499	42.800000	0	0	0	0	137	129	93	0	0	0	88	0	0	0	0	0	127	0	159	0	0	0	0	0	114	0	95	218	207	0	0	0	131	0	0	0
Spg21	42.771429	0	0	0	0	190	0	105	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	119	283	104	0	0	0	0	213	172	0
Scarf2	42.771429	0	0	0	0	132	155	0	0	0	0	0	0	0	0	0	0	157	0	146	0	0	0	0	0	0	0	0	187	0	0	0	0	0	258	462	0
A630095N17Rik	42.771429	220	0	0	0	86	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	133	242	0	0	0	0	0	151	251	0
Ybey	42.742857	302	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	99	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	88	218	343	0
Mcm3ap	42.742857	302	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	99	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	88	218	343	0
Clpsl2	42.742857	246	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	184	0	0	0	0	0	271	166	0
Xab2	42.685714	483	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	115	0	0	0	0	0	0	179	0
Syf2	42.685714	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	125	0	375	556	0	0	0	0	0	0	0	0
Rnf180	42.685714	0	0	0	0	159	122	100	0	0	0	124	144	0	0	0	0	89	0	139	0	0	0	0	0	0	0	144	296	0	0	0	0	177	0	0	0
Pet100	42.685714	483	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	115	0	0	0	0	0	0	179	0
Pcp2	42.685714	483	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	115	0	0	0	0	0	0	179	0
Mre11a	42.685714	147	0	0	0	0	0	134	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	319	0	0	139	232	0	0	0	0	134	119	193	0
Lpcat2	42.685714	0	0	0	0	0	0	141	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	105	119	0	177	459	169	0	0	0	85	0	136	0
Irf2bp1	42.685714	183	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	361	0	0	111	200	0	0	0	0	107	175	245	0
H2-Ab1	42.685714	1037	0	0	0	0	0	0	0	0	0	0	178	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0
Dus1l	42.685714	416	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	577	0	0	94	117	0	0	0	0	0	0	146	0
Ankrd49	42.685714	147	0	0	0	0	0	134	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	319	0	0	139	232	0	0	0	0	134	119	193	0
Tmtc3	42.657143	0	0	0	0	0	112	76	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	288	0	0	205	214	0	0	0	0	133	139	228	0
Rcbtb1	42.657143	0	0	0	0	0	0	0	0	0	0	82	90	0	0	0	0	138	0	87	0	0	0	0	137	0	0	147	274	82	0	0	0	126	93	237	0
Ino80e	42.657143	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	224	479	0	0	0	0	0	98	107	0
Hirip3	42.657143	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	224	479	0	0	0	0	0	98	107	0
Cep290	42.657143	0	0	0	0	0	112	76	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	288	0	0	205	214	0	0	0	0	133	139	228	0
Ipmk	42.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	453	479	0	0	0	0	90	167	161	0
Fbxl17	42.628571	182	0	0	0	150	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	397	0	0	0	0	0	244	153	0
Cisd1	42.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	453	479	0	0	0	0	90	167	161	0
Wdr89	42.600000	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	163	193	126	0	0	0	0	269	436	0
Tomm70a	42.600000	390	0	0	0	0	0	0	0	0	0	111	150	0	0	0	0	0	0	0	0	0	0	0	270	0	0	68	148	0	0	0	0	0	119	235	0
Rac3	42.600000	0	0	0	0	99	100	134	0	0	0	84	143	0	0	0	0	113	0	109	0	0	0	0	184	0	0	97	252	0	0	0	0	176	0	0	0
Wnt11	42.571429	472	0	0	0	106	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	373	134	0	0	0	0	0	0	0
Rab39	42.542857	85	0	0	0	72	0	157	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	143	0	305	474	0	0	0	0	174	0	0	0
Prkce	42.542857	310	0	0	0	81	0	113	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	111	132	0	0	0	0	0	112	184	0
Bax	42.542857	172	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	112	99	0	166	465	0	0	0	0	0	171	180	0
Vps35	42.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	85	0	352	576	102	0	0	0	0	100	132	0
Orc6	42.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	85	0	352	576	102	0	0	0	0	100	132	0
Sgk1	42.485714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	316	409	0	0	0	0	180	174	203	0
Lin7c	42.485714	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	133	220	148	0	0	0	219	195	235	0
Col5a3	42.485714	154	0	0	0	182	0	101	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	773	0	0	0	152	0	0	0	0	0	0	0	0
2210016L21Rik	42.485714	201	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	225	0	0	0	0	121	320	225	0
Zfp251	42.457143	143	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	179	76	0	182	293	84	0	0	0	87	147	187	0
Idua	42.457143	228	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	91	0	95	0	0	0	0	194	0	0	163	335	0	0	0	0	97	0	164	0
Emp3	42.457143	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0	310	450	0
Dgkq	42.457143	228	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	91	0	95	0	0	0	0	194	0	0	163	335	0	0	0	0	97	0	164	0
Ccdc114	42.457143	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0	310	450	0
Washc2	42.428571	248	0	0	0	0	0	0	0	0	0	0	108	0	125	0	0	112	0	0	0	0	0	0	336	0	0	85	230	0	0	0	0	0	92	149	0
Ppp1r10	42.428571	178	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	118	0	0	0	0	213	0	0	158	233	0	0	0	0	0	176	296	0
Mrps18b	42.428571	178	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	118	0	0	0	0	213	0	0	158	233	0	0	0	0	0	176	296	0
Ddt	42.428571	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	243	466	0	0	0	0	137	0	144	0
Arl14ep	42.428571	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	126	124	0	0	0	0	0	121	350	0
Wdhd1	42.400000	0	0	0	0	105	0	111	0	0	0	0	0	0	0	0	0	72	0	77	0	0	0	0	342	0	0	160	181	0	0	0	0	102	151	183	0
