Target_genes	Gata2|Average	SRX3014480|3T3-L1	SRX3014481|3T3-L1	SRX1056339|416B	SRX3014484|C3H/10T1/2	SRX3014485|C3H/10T1/2	SRX340953|FDCPmix	SRX340956|FDCPmix	SRX340959|FDCPmix	SRX340964|FDCPmix	SRX340965|FDCPmix	SRX340968|FDCPmix	SRX340969|FDCPmix	SRX079863|G1E	SRX079864|G1E	SRX100313|G1E	SRX145067|G1E	SRX1901617|G1E	SRX1901619|G1E	SRX145068|G1E-ER4+E2	SRX8820362|G1E-ER4+E2	SRX8820363|G1E-ER4+E2	SRX092597|G1ME	SRX035992|Hematopoietic_progenitors	SRX1939440|Lymphoid-primed_multipotent_progenitors	SRX206424|Mast_Cells	SRX310202|Mast_Cells	SRX9030837|Mast_Cells	SRX9030838|Mast_Cells	SRX9030839|Mast_Cells	SRX9030840|Mast_Cells	SRX1035383|mESC_derived_haematopoietic_progenitor	SRX1035394|mESC_derived_haematopoietic_progenitor	SRX2416653|Trophoblast_stem_cells	SRX1297850|Unclassified	SRX183894|Uterus	STRING
Igbp1	29.228571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	117	313	0	0	0	0	0	0	239	239	0	0	0	0	0	0	0	0	0	0
Frem3	29.228571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	251	0	0	0	128	0	0	132	132	0	228	0	0	0	0	0	0	0	0
Ddx46	29.228571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	237	0	0	0	0	0	0	183	182	0	0	0	0	0	0	0	0	227	0
Ltv1	29.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	232	0	0	0	0	0	0	243	242	0	0	0	0	0	0	0	0	145	0
Galnt2	29.171429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	150	0	0	357	357	0	0	0	0	0	0	0	0	0	0
Zic4	29.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	510	0	0	0	0	0	0	0	0	0	0
Zic1	29.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	510	0	0	0	0	0	0	0	0	0	0
Pak4	29.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	165	0	0	0	0	0	0	134	134	0	0	192	0	0	0	0	0	196	0
Gdf10	29.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020	0
Cyb5r2	29.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	133	0	0	0	0	0	0	0	0	754	0
Zfp296	29.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	215	0	0	0	0	0	0	277	279	0	0	0	0	0	0	0	0	103	0
Nek8	29.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	375	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	202	0
Iqgap2	29.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	398	0	0	0	0	0	0	154	152	0	0	83	0	0	0	0	0	0	0
Clec9a	29.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	816	0	0	0	0	0	0	0
Slc46a2	29.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	510	0	0	0	0	0	0	0	0	0	0
Pcbp4	29.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	0
Lrig1	29.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	325	0	0	0	0	0	0	105	104	0	0	0	0	0	0	0	0	249	0
Huwe1	29.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	423	0	0	0	0	0	0	0	0	172	0
Fbxw2	29.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	376	0	0	0	0	0	0	0	0	279	0
Phf8	29.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	190	189	0	0	148	0	0	0	0	0	279	0
Minpp1	29.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	173	323	0	0	0	0	0	0	180	234	0	0	0	0	0	0	0	0	0	0
Micall1	29.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	111	111	0	0	348	0	0	0	0	0	305	0
Ccdc166	29.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	430	0	0	0	0	0	0	0	0	156	0
Tcf15	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	87	87	0	0	0	0	0	0	0	0	725	0
Lsp1	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	0	0	0	0	0	0	0	0	401	0
H2bc1	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	434	417	0	0	0	0	0	0	0	0	0	0
H2ac1	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	434	417	0	0	0	0	0	0	0	0	0	0
Fkbpl	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	139	0	0	0	0	0	0	206	206	0	0	0	0	0	0	0	0	327	0
Bend3	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	254	0	87	0	0	0	0	0	0	420	0
Atf6b	29.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	139	0	0	0	0	0	0	206	206	0	0	0	0	0	0	0	0	327	0
Spag9	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	109	0	0	0	0	0	0	179	178	0	0	0	0	0	0	0	0	427	0
Shroom3	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	101	0	0	0	0	0	0	0	0	813	0
Crebbp	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf125	28.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	112	0	0	0	0	0	0	0	0	790	0
Rcn2	28.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	233	0	0	466	0	0	0	0	0	85	0
Prdm6	28.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	278	0	0	0	0	0	0	0	0	457	0
Ppil1	28.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	193	0	0	0	0	0	0	163	160	0	0	0	0	0	0	0	0	346	0
Hps3	28.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	305	307	0	0	0	0	0	0	0	0	155	0
BC004004	28.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	193	0	0	0	0	0	0	163	160	0	0	0	0	0	0	0	0	346	0
Wsb2	28.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	420	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	275	0
Tmem88	28.942857	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	120	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0
Naa38	28.942857	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	120	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0
Mex3d	28.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	459	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0
Hspa14	28.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	453	0	0	0	0	0	0	135	135	0	0	0	0	0	0	0	0	94	0
Cdnf	28.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	453	0	0	0	0	0	0	135	135	0	0	0	0	0	0	0	0	94	0
Tsku	28.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	130	0	0	0	0	0	0	0	0	750	0
Qrfpr	28.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	226	226	0	204	0	0	0	0	0	0	0	0
Pigyl	28.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	438	0	0	0	0	0	0	0	0	136	0
Ints14	28.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	212	211	0	125	0	0	0	0	0	0	344	0
1700109H08Rik	28.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	506	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rell1	28.885714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	144	262	288	0	0	0	0	0	0	172	0
Nfx1	28.885714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	117	0	0	0	0	0	0	318	313	0	0	0	0	0	0	0	0	190	0
Gcgr	28.885714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	79	154	0	0	0	0	0	178	178	0	0	0	0	257	0	0	0	0	0
Fdxr	28.885714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	0
Csf2	28.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	109	0	0	792	0	0	0	0	0	0	0
Cdk13	28.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	148	0	0	0	0	0	0	109	111	0	0	98	0	0	0	0	0	336	0
Sulf1	28.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009	0
Kctd6	28.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	356	0	0	0	0	0	0	127	128	0	0	0	0	0	0	0	0	190	0
Igf2bp1	28.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	438	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gbx1	28.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0
Bms1	28.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	218	0	0	0	0	0	0	157	159	0	0	0	0	0	0	0	0	347	0
Wnt1	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008	0	0	0	0	0	0	0
Snrpa	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	835	0
Setd1a	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	283	0	91	0	0	0	0	187	187	0	0	0	0	0	0	0	0	121	0
Pank2	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	306	248	0	0	0	0	0	0	96	96	0	0	0	0	0	0	0	0	151	0
Nkd1	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	378	0	252	0	0	0	0	0	0	0	0
Itga2	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	201	0	0	0	0	0	0	0	0	618	0
Il23a	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	895	0
Cpd	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	215	0	0	0	0	0	0	203	202	0	0	0	0	0	0	0	0	100	0
BC024978	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	835	0
Syt17	28.771429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	268	0	0	0	0	0	0	0	0	471	0
Lrig2	28.771429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	235	239	0	0	0	0	0	0	0	0	401	0
Afg3l2	28.771429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	374	0	0	148	0	0	0	0	0	109	0
Wdfy4	28.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	471	0	0	0	0	0	0	0	0	98	0
Rph3a	28.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	503	0	0	0	0	0	0	0	0	0	0
Hsdl1	28.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	212	0	0	0	0	0	0	177	177	0	0	0	0	0	0	0	0	230	0
Fam43a	28.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	284	0	125	0	0	0	0	0	0	312	0
Dok4	28.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	226	0	0	0	0	0	0	193	185	0	0	0	0	0	0	0	0	180	0
Dnaaf1	28.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	212	0	0	0	0	0	0	177	177	0	0	0	0	0	0	0	0	230	0
Ythdf1	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	340	0	0	0	0	0	0	0	0	328	0
Wdr61	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	138	0	0	0	0	0	0	253	253	0	0	0	0	0	0	0	0	244	0
Satb2	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	728	0
Rnf217	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	149	0	213	235	0	0	0	0	0	259	0
Nudc	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	235	0	0	0	164	0	0	92	92	0	0	0	0	0	0	0	0	266	0
Med20	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	173	179	255	0	0	0	0	0	0	227	0
Gm20517	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	173	179	255	0	0	0	0	0	0	227	0
Bysl	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	173	179	255	0	0	0	0	0	0	227	0
Akt1	28.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	437	0	0	0	0	0	0	117	117	0	0	0	0	0	0	0	0	0	0
Tox	28.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	432	0	0	0	0	0	0	0	0	140	0
Fbxw8	28.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	329	0	0	0	0	0	0	0	0	347	0
Commd10	28.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	356	0	0	0	0	0	0	0	0	294	0
Ccr5	28.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0
Lat	28.657143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	306	0	167	225	0	0	0	0	0	0	0
Dph7	28.657143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	109	0	0	0	0	0	0	234	235	0	0	0	0	0	0	0	0	282	0
Ahrr	28.657143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	207	172	204	220	0	0	0	0	0	0	0
Tomm5	28.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	103	87	0	0	0	0	0	0	0	0	637	0
Syt11	28.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	334	295	0	0	0	0	0	0	0	0	265	0
Eml5	28.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	446	0	0	0	0	0	0	144	144	0	0	0	0	0	0	0	0	0	0
Eif4g2	28.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	302	303	0	0	0	0	0	0	0	0	311	0
Dok3	28.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	146	0	0	0	0	0	0	254	255	0	0	177	0	0	0	0	0	0	0
Ago1	28.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	264	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	121	0
Ccdc171	28.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	453	0	0	0	0	0	0	85	85	0	0	0	0	0	0	0	0	93	0
Sgk1	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	393	0	0	0	0	0	0	113	112	0	0	0	0	0	0	0	0	224	0
Pla2g2d	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0
Per1	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	251	251	0	0	0	0	0	0	0	0	315	0
Lifr	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	262	0	0	0	0	0	0	0	0	475	0
Gnb1l	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	345	0	0	0	0	0	0	90	88	0	0	0	0	0	0	0	0	169	0
Drg1	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	143	0	0	0	0	0	0	264	264	0	0	0	0	0	0	0	0	122	0
Chd2	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	333	0	0	0	0	0	0	0	0	333	0
9430038I01Rik	28.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	321	325	0	0	0	0	0	0	0	0	212	0
Slc38a9	28.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	213	0	0	0	0	0	0	108	109	0	0	148	0	0	0	0	0	176	0
Mrps9	28.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	409	0	110	0	0	0	0	148	148	0	0	0	0	0	0	0	0	0	0
Hand1	28.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	499	0	0	0	0	0	0	0	0	0	0
Cacybp	28.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	281	280	0	0	0	0	0	0	0	0	278	0
Zfp781	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	331	0	0	0	0	0	0	122	155	0	0	0	0	0	0	0	0	0	0
Trpm3	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	310	0	0	0	0	0	0	0	0	380	0
Tns1	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0
Socs3	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	207	0	0	0	0	0	0	206	207	0	0	0	0	0	0	0	0	259	0
Slf2	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	358	0	0	0	0	0	0	0	0	280	0
Shld2	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	289	0	0	0	0	0	0	144	144	0	0	0	0	0	0	0	0	185	0
Rufy4	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0
Olfr911-ps1	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	612	0	0	0	0	0	0	0	0
Msl2	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	220	220	0	0	251	0	0	0	0	0	187	0
Lrrc63	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	500	0	0	0	0	0	0	0	0	0	0
Lcp1	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	500	0	0	0	0	0	0	0	0	0	0
Ksr1	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	221	0	0	148	147	0	0	0	0	0	0	0	0	319	0
Hoxa3	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	630	0
Gm3055	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	331	0	0	0	0	0	0	122	155	0	0	0	0	0	0	0	0	0	0
Glud1	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	289	0	0	0	0	0	0	144	144	0	0	0	0	0	0	0	0	185	0
Fh1	28.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	307	298	0	0	0	0	0	0	0	0	314	0
Fabp12	28.514286	0	0	0	0	0	0	0	131	0	116	0	0	0	0	0	0	193	110	0	0	0	0	0	0	113	115	0	0	0	0	0	0	0	0	220	0
Zfp58	28.485714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	183	0	0	0	0	0	0	277	277	0	0	0	0	0	0	0	0	157	0
Rpl29	28.485714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	121	120	0	0	324	0	0	0	0	0	253	0
Bcar3	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	145	0	0	162	0	0	0	0	0	545	463
Slc25a27	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	160	0	0	0	0	0	0	0	0	673	0
Rab1a	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	256	254	0	0	164	0	0	0	0	0	192	0
Oprl1	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	446	307	0	0	0	0	0	0	0
D2hgdh	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	238	241	0	0	0	0	0	0	0	0	254	0
Cyp39a1	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	160	0	0	0	0	0	0	0	0	673	0
Arl5a	28.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	267	0	0	216	0	0	0	0	0	246	0
Ccnb1	28.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	554	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube3a	28.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	201	202	0	0	119	0	0	0	0	0	356	0
Thoc2	28.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	186	0	0	0	0	0	0	214	214	0	0	231	0	0	0	0	0	0	0
Tex38	28.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	219	0	0	0	0	0	0	325	327	0	0	0	0	0	0	0	0	0	0
Tex264	28.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	171	0	0	0	0	0	0	180	178	0	0	177	0	0	0	0	0	172	0
Ncmap	28.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	407	0	0	0	0	0	0	0	0	182	0
Atpaf1	28.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	219	0	0	0	0	0	0	325	327	0	0	0	0	0	0	0	0	0	0
Coq7	28.371429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	363	0	0	0	0	0	0	0	0	265	0
Cep43	28.371429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	146	0	0	0	0	0	0	128	118	0	0	0	0	0	0	0	0	102	0
Zmat3	28.342857	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	267	325	0	0	0	0	0	0	130	131	0	0	0	0	0	0	0	0	0	0
Wdr66	28.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	191	0	0	0	0	0	0	0	0	607	0
Tspyl1	28.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	326	0	0	0	0	0	0	0	0	344	0
Hsp90ab1	28.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	240	0	0	228	0	0	0	0	0	284	0
Grin1	28.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	116	119	0	0	324	0	0	0	0	0	0	0
Vps26b	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	200	0	0	0	0	0	0	138	137	0	0	0	0	0	0	0	0	241	0
Sirt6	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	219	0	0	0	0	0	0	0	0	554	0
Ncapd3	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	200	0	0	0	0	0	0	138	137	0	0	0	0	0	0	0	0	241	0
Inpp5f	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	254	0	0	0	0	0	0	193	192	0	0	0	0	0	0	0	0	163	0
Gar1	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	271	0	0	162	0	0	0	0	0	286	0
Ddc	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	331	438	0	0	0	0	0	0	0
Cdkn2c	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	158	0	0	0	0	0	0	181	179	0	160	0	0	0	0	0	0	173	0
Bhmg1	28.314286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	128	128	0	160	247	0	0	0	0	0	175	0
