Target_genes	Esrra|Average	SRX21934343|Brown_adipocytes	SRX17622702|Brown_adipose_tissue	SRX17622703|Brown_adipose_tissue	SRX1890323|Brown_adipose_tissue	SRX1890324|Brown_adipose_tissue	SRX1716885|C2C12	SRX24915614|Duodenal_villus	SRX24915615|Duodenal_villus	SRX1743135|Frontal_cortex	SRX1743136|Frontal_cortex	SRX15672330|Liver	SRX15672332|Liver	SRX18421145|Liver	SRX18421147|Liver	SRX18421149|Skeletal_muscle	SRX18421151|Skeletal_muscle	SRX218535|Unclassified	STRING
Zfp981	25.235294	0	0	0	0	0	0	0	0	0	0	234	195	0	0	0	0	0	0
Psen2	25.235294	172	0	0	157	0	0	0	0	0	100	0	0	0	0	0	0	0	0
Ppip5k2	25.235294	178	0	0	142	0	0	0	0	0	109	0	0	0	0	0	0	0	0
Nup98	25.235294	0	0	0	136	113	0	0	0	76	104	0	0	0	0	0	0	0	0
Mycbp2	25.235294	194	0	0	124	111	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipt2	25.235294	100	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0
Gin1	25.235294	178	0	0	142	0	0	0	0	0	109	0	0	0	0	0	0	0	0
Dact1	25.176471	125	0	0	0	199	0	0	0	0	104	0	0	0	0	0	0	0	0
Zbp1	25.117647	110	0	0	116	201	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc13	25.117647	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpmt	25.117647	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	359	0
Tbxa2r	25.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0
Prss36	25.117647	295	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm1b	25.117647	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	359	0
Fam25c	25.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0
Arv1	25.117647	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acox2	25.117647	192	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad6	25.058824	160	0	0	125	141	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf130	25.058824	0	0	0	0	0	0	0	0	76	114	0	0	0	0	0	0	236	0
Pdf	25.058824	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	344	0
Fancc	25.058824	0	0	216	0	0	0	0	0	82	128	0	0	0	0	0	0	0	0
Bcl10	25.058824	188	0	0	136	102	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk36	25.000000	158	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Rora	25.000000	132	0	0	0	199	0	0	0	0	94	0	0	0	0	0	0	0	0
Rnf25	25.000000	158	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Nek3	25.000000	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0
Higd1b	25.000000	158	0	0	164	103	0	0	0	0	0	0	0	0	0	0	0	0	0
Dipk1b	25.000000	0	0	162	0	0	0	0	0	126	137	0	0	0	0	0	0	0	0
Actb	25.000000	116	0	0	125	184	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp36l1	24.941176	176	0	0	0	140	108	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc4	24.941176	167	0	0	0	138	0	0	0	0	119	0	0	0	0	0	0	0	0
Tmem167	24.941176	167	0	0	0	138	0	0	0	0	119	0	0	0	0	0	0	0	0
Tmem106a	24.941176	268	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ska2	24.941176	74	0	0	120	154	0	0	0	0	76	0	0	0	0	0	0	0	0
Sfxn4	24.941176	120	0	0	61	0	0	0	0	86	157	0	0	0	0	0	0	0	0
Sestd1	24.941176	209	0	0	0	132	0	0	0	0	83	0	0	0	0	0	0	0	0
Selenok	24.941176	170	0	0	162	0	0	0	0	0	92	0	0	0	0	0	0	0	0
Prr11	24.941176	74	0	0	120	154	0	0	0	0	76	0	0	0	0	0	0	0	0
Klhl25	24.941176	174	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	138	0
Gmds	24.941176	171	0	96	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0
Dock10	24.941176	133	0	0	0	165	0	0	0	0	126	0	0	0	0	0	0	0	0
Atp4b	24.941176	88	0	221	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp952	24.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0
Zbtb42	24.882353	119	0	0	0	0	0	0	0	181	123	0	0	0	0	0	0	0	0
Rtn4	24.882353	117	0	0	0	96	0	0	0	82	128	0	0	0	0	0	0	0	0
Rbm10	24.882353	179	0	78	99	67	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmb6	24.882353	165	0	0	173	0	0	0	0	85	0	0	0	0	0	0	0	0	0
Nupl1	24.882353	176	0	0	84	92	0	0	0	0	71	0	0	0	0	0	0	0	0
Ndufb11	24.882353	179	0	78	99	67	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpld1	24.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	281	0
Ddx17	24.882353	148	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	149	0
Cwf19l1	24.882353	195	0	107	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0
Ptch1	24.823529	191	0	0	0	136	0	0	0	95	0	0	0	0	0	0	0	0	0
Ifnar1	24.823529	77	0	204	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxc6	24.823529	236	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxc5	24.823529	236	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helz2	24.823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0
Gdpd1	24.823529	0	0	0	0	0	0	0	0	186	236	0	0	0	0	0	0	0	0
Exd2	24.823529	131	0	0	0	106	111	0	0	0	74	0	0	0	0	0	0	0	0
Eml2	24.823529	0	0	107	0	0	0	0	0	57	0	0	0	0	0	0	0	258	0
Aurkaip1	24.823529	221	0	0	125	0	0	0	0	0	76	0	0	0	0	0	0	0	0
Aqp8	24.823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0
Ppp1r3e	24.764706	0	0	0	0	0	155	0	0	0	86	0	0	0	0	0	0	180	0
Mapkapk3	24.764706	135	0	165	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lnpk	24.764706	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	323	0
Ints3	24.764706	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0
Exd1	24.764706	107	0	229	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0
Emp3	24.764706	256	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chp1	24.764706	107	0	229	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0
Ccdc114	24.764706	256	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treh	24.705882	235	0	0	72	113	0	0	0	0	0	0	0	0	0	0	0	0	0
Sv2a	24.705882	181	0	0	111	128	0	0	0	0	0	0	0	0	0	0	0	0	0
Mthfd1	24.705882	195	0	100	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0
Mdn1	24.705882	135	0	0	132	0	0	0	0	71	82	0	0	0	0	0	0	0	0
Hsd17b11	24.705882	185	0	0	112	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Dguok	24.705882	176	0	0	156	0	0	0	0	0	88	0	0	0	0	0	0	0	0
Cnot7	24.705882	0	0	240	0	0	0	0	0	92	88	0	0	0	0	0	0	0	0
Cfd	24.705882	152	0	0	123	145	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf72	24.705882	163	0	0	124	0	0	0	0	0	133	0	0	0	0	0	0	0	0
Aqr	24.705882	262	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aanat	24.705882	156	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	175	0
Zzef1	24.647059	256	0	0	0	0	0	0	0	84	79	0	0	0	0	0	0	0	0
Slc18b1	24.647059	104	0	0	0	109	0	0	0	97	109	0	0	0	0	0	0	0	0
Polr2d	24.647059	0	0	234	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0
Pnpla7	24.647059	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	342	0
Mrpl41	24.647059	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	342	0
Krt28	24.647059	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0
Gins1	24.647059	140	0	0	0	0	0	0	0	144	135	0	0	0	0	0	0	0	0
Cyb5d2	24.647059	256	0	0	0	0	0	0	0	84	79	0	0	0	0	0	0	0	0
Uox	24.588235	114	0	100	81	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Stam	24.588235	215	0	0	0	0	0	0	0	97	106	0	0	0	0	0	0	0	0
Slc6a1	24.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0
Serpina3b	24.588235	228	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0
Pbxip1	24.588235	185	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	108	0
Lrp4	24.588235	189	0	0	0	111	0	0	0	118	0	0	0	0	0	0	0	0	0
U2af1l4	24.529412	130	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	142	0
Top3a	24.529412	209	0	0	135	73	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf1a	24.529412	212	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	142	0
Smcr8	24.529412	209	0	0	135	73	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptma	24.529412	0	0	94	176	147	0	0	0	0	0	0	0	0	0	0	0	0	0
Psenen	24.529412	130	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	142	0
Nelfa	24.529412	120	0	0	238	0	0	0	0	0	59	0	0	0	0	0	0	0	0
Lect2	24.529412	148	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx24	24.529412	151	0	0	84	0	0	0	0	84	98	0	0	0	0	0	0	0	0
Ttc21b	24.470588	219	0	0	0	88	0	0	0	0	109	0	0	0	0	0	0	0	0
St8sia6	24.470588	0	0	0	0	0	0	0	0	166	250	0	0	0	0	0	0	0	0
Slc16a4	24.470588	120	0	0	173	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3glb1	24.470588	72	0	95	0	167	0	0	0	0	82	0	0	0	0	0	0	0	0
Serf2	24.470588	143	0	182	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0
Rpgrip1l	24.470588	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0
Prkcg	24.470588	218	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3ca	24.470588	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0
Fto	24.470588	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0
Bloc1s5	24.470588	190	0	156	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0
Tacc2	24.411765	139	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g10	24.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0
Onecut3	24.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0
Ints9	24.411765	168	0	0	106	68	0	0	0	0	73	0	0	0	0	0	0	0	0
Hmbox1	24.411765	168	0	0	106	68	0	0	0	0	73	0	0	0	0	0	0	0	0
Gm45618	24.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0
Vwa1	24.352941	129	0	176	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0
Trip11	24.352941	0	117	208	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
Rxra	24.352941	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0
Oaf	24.352941	104	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
Heg1	24.352941	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0
Gnpat	24.352941	168	0	0	0	170	0	0	0	0	76	0	0	0	0	0	0	0	0
Cdsn	24.352941	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0
Arhgap29	24.352941	0	0	145	0	0	0	0	0	182	87	0	0	0	0	0	0	0	0
2810004N23Rik	24.352941	168	0	0	0	170	0	0	0	0	76	0	0	0	0	0	0	0	0
Slc25a38	24.294118	153	0	156	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
Slc25a16	24.294118	159	0	0	0	141	0	0	0	0	113	0	0	0	0	0	0	0	0
Shfl	24.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	255	0
Prkra	24.294118	144	0	142	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0
Pjvk	24.294118	144	0	142	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0
Nenf	24.294118	125	0	0	0	153	0	0	0	58	77	0	0	0	0	0	0	0	0
Mrpl49	24.294118	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	300	0
Ippk	24.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	307	0
Gtf2h2	24.294118	196	0	0	0	146	0	0	0	0	71	0	0	0	0	0	0	0	0
Carhsp1	24.294118	156	0	121	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	24.294118	148	0	0	0	74	0	0	0	0	79	0	0	0	0	0	0	112	0
Saysd1	24.235294	132	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	118	0
Nr1h2	24.235294	182	0	0	152	78	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps18c	24.235294	164	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	181	0
Ivd	24.235294	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helq	24.235294	164	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	181	0
Camk2n1	24.235294	0	0	97	0	0	0	0	0	102	213	0	0	0	0	0	0	0	0
Arhgap11a	24.235294	221	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankzf1	24.235294	123	0	0	113	83	0	0	0	0	93	0	0	0	0	0	0	0	0
Aggf1	24.235294	179	0	139	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tvp23b	24.176471	220	0	0	0	0	0	0	0	97	94	0	0	0	0	0	0	0	0
Tpm3	24.176471	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	288	0
St6galnac1	24.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0
Shank3	24.176471	296	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmb10	24.176471	124	0	108	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nop16	24.176471	225	0	0	102	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek6	24.176471	70	0	0	0	234	0	0	0	107	0	0	0	0	0	0	0	0	0
Higd2a	24.176471	225	0	0	102	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsta4	24.176471	198	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0
Gatb	24.176471	179	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp3	24.176471	0	0	0	0	0	0	0	0	78	80	0	0	0	0	0	0	253	0
Fancm	24.176471	0	0	0	0	0	0	0	0	78	80	0	0	0	0	0	0	253	0
Dpm2	24.176471	126	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	221	0
Ctrl	24.176471	124	0	108	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps13a	24.117647	0	78	132	0	0	0	0	0	87	113	0	0	0	0	0	0	0	0
Mtg2	24.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0
Mgat4b	24.117647	190	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0
Il4ra	24.117647	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0
Gm1096	24.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0
Cplane2	24.117647	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	315	0
Brap	24.117647	97	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	233	0
Acad10	24.117647	97	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	233	0
Wdr62	24.058824	191	0	0	114	104	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d17	24.058824	160	0	0	143	106	0	0	0	0	0	0	0	0	0	0	0	0	0
Srd5a1	24.058824	282	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsun2	24.058824	282	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mogat1	24.058824	195	0	0	90	124	0	0	0	0	0	0	0	0	0	0	0	0	0
Fign	24.058824	289	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc3	24.058824	140	0	0	105	164	0	0	0	0	0	0	0	0	0	0	0	0	0
Akt1s1	24.058824	160	0	0	143	106	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	24.058824	0	0	130	0	0	0	0	0	0	106	0	0	0	0	0	0	173	0
Ubap2	24.000000	143	0	150	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0
Sh2d7	24.000000	190	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrad	24.000000	233	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmbr1l	24.000000	0	0	133	142	0	0	0	0	0	0	0	0	0	0	0	0	133	0
Kank1	24.000000	0	0	73	0	247	0	0	0	0	88	0	0	0	0	0	0	0	0
Hnf4a	24.000000	150	0	0	179	0	0	0	0	0	79	0	0	0	0	0	0	0	0
Fgf14	24.000000	193	0	0	110	105	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygl	23.941176	0	0	106	0	208	0	0	0	0	93	0	0	0	0	0	0	0	0
Pstpip1	23.941176	0	0	290	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0
Plcxd2	23.941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0
H2ac4	23.941176	138	0	0	131	0	0	0	0	0	138	0	0	0	0	0	0	0	0
Angel2	23.941176	177	0	0	134	0	0	0	0	0	96	0	0	0	0	0	0	0	0
Agfg2	23.941176	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0
Ypel4	23.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	275	0
Tsku	23.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0
Tbc1d10c	23.882353	218	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0
Setd1a	23.882353	0	0	0	78	0	0	0	0	113	0	0	0	0	0	0	0	215	0
Psmd9	23.882353	257	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r21	23.882353	153	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	155	0
Ppp1ca	23.882353	218	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0
Pak4	23.882353	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0
Ern1	23.882353	159	0	105	0	0	0	0	0	77	65	0	0	0	0	0	0	0	0
Ctsz	23.882353	173	0	0	108	125	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl6	23.882353	274	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem74b	23.823529	0	0	266	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0
Tctn1	23.823529	150	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	155	0
Osbpl7	23.823529	154	0	0	139	112	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm5	23.823529	196	0	0	0	133	0	0	0	0	76	0	0	0	0	0	0	0	0
Irak1bp1	23.823529	99	0	0	127	83	0	0	0	0	96	0	0	0	0	0	0	0	0
1300017J02Rik	23.823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0
Zcchc3	23.764706	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2e2	23.764706	164	0	0	0	164	0	0	0	0	76	0	0	0	0	0	0	0	0
Gtf2a1	23.764706	244	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif5a	23.764706	143	0	0	177	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq5	23.764706	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2aip	23.764706	170	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc42	23.764706	0	0	80	0	0	0	0	0	100	0	0	0	0	0	0	0	224	0
Adgra3	23.764706	0	117	107	0	0	0	0	0	79	101	0	0	0	0	0	0	0	0
Aak1	23.764706	134	0	0	73	129	0	0	0	0	68	0	0	0	0	0	0	0	0
Ppp2r5d	23.705882	139	0	0	105	159	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtus1	23.705882	172	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb2	23.705882	285	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
A630095N17Rik	23.705882	285	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem33	23.647059	168	0	0	137	0	0	0	0	97	0	0	0	0	0	0	0	0	0
Smim24	23.647059	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
Samd4b	23.647059	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	325	0
Ndel1	23.647059	173	0	0	0	0	0	0	0	90	139	0	0	0	0	0	0	0	0
Naa40	23.647059	0	0	123	0	0	0	0	0	0	69	0	0	0	0	0	0	210	0
Gmfg	23.647059	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	325	0
Gm48552	23.647059	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
Fbxo48	23.647059	125	0	0	144	0	0	0	0	0	133	0	0	0	0	0	0	0	0
Fam78b	23.647059	177	0	0	83	142	0	0	0	0	0	0	0	0	0	0	0	0	0
Atoh1	23.647059	272	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb5	23.588235	277	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl37	23.588235	275	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0
Loxl4	23.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0
Klc1	23.588235	0	0	0	159	242	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc14	23.529412	215	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h12a	23.529412	224	0	0	80	96	0	0	0	0	0	0	0	0	0	0	0	0	0
Uchl3	23.529412	218	0	0	0	0	0	0	0	106	76	0	0	0	0	0	0	0	0
Tlnrd1	23.529412	190	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	126	0
Nrde2	23.529412	163	0	0	141	96	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlxip	23.529412	0	130	202	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0
Ift88	23.529412	171	0	0	0	0	0	0	0	97	132	0	0	0	0	0	0	0	0
Hexa	23.529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0
Gm34531	23.529412	102	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Fam160b1	23.529412	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	270	0
Accs	23.529412	193	0	0	103	104	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	23.529412	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	255	0
Zbtb20	23.470588	119	0	0	153	127	0	0	0	0	0	0	0	0	0	0	0	0	0
Ufsp2	23.470588	147	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Tars2	23.470588	261	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0
Psma3	23.470588	145	0	0	81	0	173	0	0	0	0	0	0	0	0	0	0	0	0
Prps1l3	23.470588	154	0	141	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
Mipol1	23.470588	154	0	141	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
Fabp12	23.470588	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0
Clec10a	23.470588	201	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg14	23.470588	248	0	0	84	67	0	0	0	0	0	0	0	0	0	0	0	0	0
1810037I17Rik	23.470588	141	0	0	96	162	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	23.470588	147	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Txndc15	23.411765	213	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0
Rcc1l	23.411765	253	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam78a	23.411765	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btbd6	23.411765	0	150	177	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0
Tango6	23.352941	0	0	0	0	0	194	0	0	113	90	0	0	0	0	0	0	0	0
Rab40b	23.352941	140	0	0	117	0	0	0	0	140	0	0	0	0	0	0	0	0	0
Mmut	23.352941	139	0	144	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dvl2	23.352941	194	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtx4	23.352941	0	0	0	0	140	0	0	0	181	76	0	0	0	0	0	0	0	0
Cenpq	23.352941	139	0	144	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf7	23.294118	293	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0
Ppp3r1	23.294118	0	0	0	0	0	0	0	0	184	212	0	0	0	0	0	0	0	0
Mfsd8	23.294118	0	0	103	0	0	0	0	0	124	169	0	0	0	0	0	0	0	0
Mettl26	23.294118	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0
Lysmd3	23.294118	0	0	91	0	0	0	0	0	108	197	0	0	0	0	0	0	0	0
Gm3776	23.294118	146	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	23.294118	0	0	0	0	0	0	0	0	0	0	159	237	0	0	0	0	0	0
Zfyve1	23.235294	178	0	99	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
Nufip2	23.235294	153	0	0	141	101	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl3	23.235294	218	0	0	0	0	0	0	0	85	92	0	0	0	0	0	0	0	0
Arpc1b	23.235294	66	0	0	183	146	0	0	0	0	0	0	0	0	0	0	0	0	0
Armc8	23.235294	119	0	66	0	117	0	0	0	0	93	0	0	0	0	0	0	0	0
Tcerg1	23.176471	194	0	0	87	113	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf6	23.176471	157	0	93	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0
Nptx1	23.176471	147	0	0	136	111	0	0	0	0	0	0	0	0	0	0	0	0	0
Def6	23.176471	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0
Dcaf10	23.176471	0	0	128	0	0	96	0	0	0	170	0	0	0	0	0	0	0	0
Anapc15	23.176471	245	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ackr4	23.176471	290	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0
Yif1a	23.117647	129	0	73	0	58	0	0	0	0	133	0	0	0	0	0	0	0	0
