Target_genes	Rel|Average	SRX14226822|B_cells	SRX14226823|B_cells	SRX14226824|B_cells	SRX14226825|B_cells	SRX14226826|B_cells	SRX14226827|B_cells	SRX122495|Dendritic_Cells	SRX122496|Dendritic_Cells	SRX122497|Dendritic_Cells	SRX122498|Dendritic_Cells	SRX122574|Dendritic_Cells	SRX122575|Dendritic_Cells	SRX3380944|Dendritic_Cells	SRX3380945|Dendritic_Cells	SRX3380946|Dendritic_Cells	STRING
Bcl3	34.533333	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0
Trex1	34.466667	0	0	0	0	0	0	0	0	0	0	0	0	180	337	0	0
Tcof1	34.466667	0	0	0	0	0	0	0	0	0	0	0	0	238	279	0	0
Shisa5	34.466667	0	0	0	0	0	0	0	0	0	0	0	0	180	337	0	0
Sf3b2	34.400000	0	0	0	0	0	0	0	0	0	0	0	0	344	172	0	0
Csrp1	34.400000	0	0	0	0	0	0	0	0	0	0	0	0	297	219	0	0
Rraga	34.266667	0	0	0	0	0	0	0	0	0	0	0	0	270	244	0	0
Myo1f	34.266667	0	0	0	0	0	0	0	0	0	0	0	0	270	244	0	0
Dmwd	34.266667	0	0	0	0	0	0	0	0	0	0	0	0	325	189	0	0
Ctla2b	34.266667	0	0	0	0	0	0	0	0	0	0	0	0	305	209	0	0
Vars	34.200000	0	0	0	0	0	0	0	0	0	0	0	0	293	220	0	0
Sil1	34.200000	0	0	0	0	0	0	0	0	0	0	0	0	417	96	0	0
D17H6S56E-5	34.200000	0	0	0	0	0	0	0	0	0	0	0	0	293	220	0	0
Rsbn1l	34.066667	0	0	0	0	0	0	0	0	0	0	0	0	363	148	0	0
Adamts13	34.066667	0	0	0	0	0	0	0	0	0	0	0	0	284	227	0	0
Slc36a3	33.933333	0	0	0	0	0	0	0	0	0	0	0	0	373	136	0	0
Ifi211	33.933333	0	0	0	0	0	0	0	0	0	0	0	0	294	215	0	0
Cand1	33.733333	0	0	0	0	0	0	0	0	0	0	0	0	294	212	0	0
C3	33.666667	0	0	0	0	0	0	0	0	0	0	0	0	197	308	0	0
Treml4	33.466667	0	0	0	0	0	0	0	0	0	0	0	0	268	234	0	0
Susd6	33.466667	0	0	0	0	0	0	0	0	0	0	0	0	295	207	0	0
Plekhb2	33.466667	0	0	0	0	0	0	0	0	0	0	0	0	172	330	0	0
Ccr9	33.466667	0	0	0	0	0	0	0	0	0	0	0	0	283	219	0	0
Gatad2a	33.400000	0	0	0	0	0	0	0	0	0	0	0	0	249	252	0	0
Fgr	33.400000	0	0	0	0	0	0	0	0	0	0	0	0	315	186	0	0
B3galnt2	33.333333	0	0	0	0	0	0	0	0	0	0	0	0	152	348	0	0
Trpv4	33.200000	0	0	0	0	0	0	0	0	0	0	0	0	343	155	0	0
Trim34a	33.066667	0	0	0	0	0	0	0	0	0	0	0	0	282	214	0	0
Dyrk3	33.066667	0	0	0	0	0	0	0	0	0	0	0	0	247	249	0	0
Mllt11	33.000000	0	0	0	0	0	0	0	0	0	0	0	0	197	298	0	0
Itga2b	33.000000	0	0	0	0	0	0	0	0	0	0	0	0	157	338	0	0
Cdc42se1	33.000000	0	0	0	0	0	0	0	0	0	0	0	0	197	298	0	0
Slc33a1	32.866667	0	0	0	0	0	0	0	0	0	0	0	0	262	231	0	0
Ubxn8	32.800000	0	0	0	0	0	0	0	0	0	0	0	0	340	152	0	0
Rab8b	32.800000	0	0	0	0	0	0	0	0	0	0	0	0	178	314	0	0
Ifna13	32.800000	0	0	0	0	263	229	0	0	0	0	0	0	0	0	0	0
Snx22	32.733333	0	0	0	0	0	0	0	0	0	0	0	0	252	239	0	0
Crybg3	32.733333	0	0	0	0	0	0	0	0	0	0	0	0	280	211	0	0
Zfp36	32.666667	0	0	0	0	0	0	0	0	0	0	0	0	207	283	0	0
H2-T9	32.666667	0	0	0	0	0	0	0	0	0	0	0	0	294	196	0	0
H2-T22	32.666667	0	0	0	0	0	0	0	0	0	0	0	0	294	196	0	0
Gm6034	32.666667	0	0	0	0	0	0	0	0	0	0	0	0	294	196	0	0
Arid5a	32.666667	0	0	0	0	0	0	0	0	0	0	0	0	307	183	0	0
Tank	32.600000	0	0	0	0	0	0	0	0	0	0	0	0	250	239	0	0
Hvcn1	32.600000	0	0	0	0	0	0	0	0	0	0	0	0	249	240	0	0
Dthd1	32.600000	0	0	0	0	0	0	0	0	0	0	0	0	348	141	0	0
Cfap410	32.600000	0	0	0	0	0	0	0	0	0	0	0	0	310	179	0	0
Pirb	32.533333	0	0	0	0	0	0	0	0	0	0	0	0	269	219	0	0
H2-K1	32.533333	0	0	0	0	0	0	0	0	0	0	0	0	247	241	0	0
Pla1a	32.400000	0	0	0	0	0	0	0	0	0	0	0	0	301	185	0	0
Cd53	32.400000	0	0	0	0	0	0	0	0	0	0	0	0	307	179	0	0
Ptpro	32.333333	0	0	0	0	0	0	0	0	0	0	0	0	218	267	0	0
Marchf1	32.333333	0	0	0	0	0	0	0	0	0	0	0	0	313	172	0	0
Zbtb32	32.266667	0	0	0	0	0	0	0	0	0	0	0	0	186	298	0	0
Wfdc21	32.266667	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0
Fbxw13	32.266667	0	0	0	0	0	0	0	0	0	0	0	0	318	166	0	0
Mki67	32.066667	0	0	0	0	0	0	0	0	0	0	0	0	221	260	0	0
Snn	31.933333	0	0	0	0	0	0	0	0	0	0	0	0	196	283	0	0
Slc31a2	31.800000	0	0	0	0	0	0	0	0	0	0	0	0	307	170	0	0
Macroh2a1	31.800000	0	0	0	0	0	0	0	0	0	0	0	0	199	278	0	0
Commd8	31.800000	0	0	0	0	0	0	0	0	0	0	0	0	303	174	0	0
Pik3ap1	31.666667	0	0	0	0	0	0	0	0	0	0	0	0	243	232	0	0
Tmcc3	31.600000	0	0	0	0	0	0	0	0	0	0	0	0	293	181	0	0
P2ry12	31.600000	0	0	0	0	0	0	0	0	0	0	0	0	269	205	0	0
Znrd1as	31.533333	0	0	0	0	0	0	0	0	0	0	0	0	322	151	0	0
Rfx5	31.533333	0	0	0	0	0	0	0	0	0	0	0	0	224	249	0	0
Lyz2	31.533333	0	0	0	0	0	0	0	0	0	0	0	0	244	229	0	0
Dock10	31.466667	0	0	0	0	0	0	0	0	0	0	0	0	175	297	0	0
Ksr1	31.400000	0	0	0	0	0	0	0	0	0	0	0	0	227	244	0	0
Klra4	31.400000	0	0	0	0	0	0	0	0	0	0	0	0	237	234	0	0
Klra18	31.400000	0	0	0	0	0	0	0	0	0	0	0	0	237	234	0	0
Jmjd1c	31.400000	0	0	0	0	0	0	0	0	0	0	0	0	307	164	0	0
Got1l1	31.400000	0	0	0	0	0	0	0	0	0	0	0	0	300	171	0	0
Dhrs9	31.400000	0	0	0	0	0	0	0	0	0	0	0	0	317	154	0	0
Eif5a	31.333333	0	0	0	0	0	0	0	0	0	0	0	0	300	170	0	0
Ptpn11	31.266667	0	0	0	0	0	0	0	0	0	0	0	0	329	140	0	0
Xcr1	31.133333	0	0	0	0	0	0	0	0	0	0	0	0	246	221	0	0
Cxcl11	31.133333	0	0	0	0	0	0	0	0	0	0	0	0	274	193	0	0
Ccl17	31.133333	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0
Nudt9	31.066667	0	0	0	0	0	0	0	0	0	0	0	0	164	302	0	0
Filip1l	31.000000	0	0	0	0	0	0	0	0	0	0	0	0	295	170	0	0
Adprh	31.000000	0	0	0	0	0	0	0	0	0	0	0	0	284	181	0	0
Sbf1	30.866667	0	0	0	0	0	0	0	0	0	0	0	0	248	215	0	0
Rnase2b	30.866667	0	0	0	0	0	0	0	0	0	0	0	0	290	173	0	0
Adm2	30.866667	0	0	0	0	0	0	0	0	0	0	0	0	248	215	0	0
Tlx1	30.800000	0	0	0	0	0	0	0	0	0	0	0	0	245	217	0	0
Fancl	30.800000	0	0	0	0	0	0	0	0	0	0	0	0	275	187	0	0
Bhlhe40	30.733333	0	0	0	0	0	0	0	0	0	0	0	0	206	255	0	0
Zbtb26	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	208	252	0	0
Twf2	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	249	211	0	0
Rabgap1	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	208	252	0	0
Ppm1m	30.666667	0	0	0	0	0	0	0	0	0	0	0	0	249	211	0	0
Tmem131	30.600000	0	0	0	0	0	0	0	0	0	0	0	0	234	225	0	0
Wsb2	30.533333	0	0	0	0	0	0	0	0	0	0	0	0	181	277	0	0
Rpusd4	30.533333	0	0	0	0	0	0	0	0	0	0	0	0	243	215	0	0
Ing4	30.533333	0	0	0	0	0	0	0	0	0	0	0	0	286	172	0	0
Fam118b	30.533333	0	0	0	0	0	0	0	0	0	0	0	0	243	215	0	0
Cttnbp2nl	30.533333	0	0	0	0	0	0	0	0	0	0	0	0	221	237	0	0
Klrb1b	30.466667	0	0	0	0	0	0	0	0	0	0	0	0	311	146	0	0
Inpp5b	30.466667	0	0	0	0	0	0	0	0	0	0	0	0	336	121	0	0
Sel1l	30.400000	0	0	0	0	0	0	0	0	0	0	0	0	213	243	0	0
Csf2ra	30.400000	0	0	0	0	213	243	0	0	0	0	0	0	0	0	0	0
Mmp19	30.333333	0	0	0	0	0	0	0	0	0	0	0	0	229	226	0	0
Nfkbiz	30.266667	0	0	0	0	0	120	0	0	0	0	0	0	176	158	0	0
Ifit1bl1	30.200000	0	0	0	0	0	0	0	0	0	0	0	0	230	223	0	0
Apol10b	30.200000	0	0	0	0	0	0	0	0	0	0	0	0	209	244	0	0
Helz2	30.133333	0	0	0	0	0	0	0	0	0	0	0	0	203	249	0	0
Eps8	30.066667	0	0	0	0	0	0	0	0	0	0	0	0	197	254	0	0
Sh3bp2	29.933333	0	0	0	0	0	0	0	0	0	0	0	0	213	236	0	0
Ptpn6	29.933333	0	0	0	0	0	0	0	0	0	0	0	0	293	156	0	0
Plcb2	29.933333	0	0	0	0	0	0	0	0	0	0	0	0	273	176	0	0
Card11	29.933333	0	0	0	0	0	0	0	0	0	0	0	0	319	130	0	0
Abi1	29.933333	0	0	0	0	0	0	0	0	0	0	0	0	171	278	0	0
Zmynd11	29.866667	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0
Slc35f6	29.866667	0	0	0	0	0	0	0	0	0	0	0	0	296	152	0	0
Kctd2	29.866667	0	0	0	0	0	0	0	0	0	0	0	0	302	146	0	0
Cd47	29.866667	0	0	0	0	0	0	0	0	0	0	0	0	308	140	0	0
Atp5h	29.866667	0	0	0	0	0	0	0	0	0	0	0	0	302	146	0	0
Arpc1b	29.866667	0	0	0	0	0	0	0	0	0	0	0	0	176	272	0	0
Spag9	29.800000	0	0	0	0	0	0	0	0	0	0	0	0	228	219	0	0
Cep43	29.800000	0	0	0	0	0	0	0	0	0	0	0	0	173	274	0	0
Il13ra1	29.733333	0	0	0	0	0	0	0	0	0	0	0	0	247	199	0	0
Grxcr1	29.733333	0	0	0	0	0	0	0	0	0	0	0	0	328	118	0	0
Necap1	29.666667	0	0	0	0	0	0	0	0	0	0	0	0	290	155	0	0
E2f2	29.666667	0	0	0	0	0	0	0	0	0	0	0	0	279	166	0	0
Cxcl2	29.666667	0	0	0	0	0	0	0	0	0	0	0	0	276	169	0	0
Tent2	29.600000	0	0	0	0	0	0	0	0	0	0	0	0	258	186	0	0
Gm33989	29.533333	0	0	0	0	104	0	0	0	0	0	0	0	143	196	0	0
Dnm1	29.533333	0	0	0	0	0	0	0	0	0	0	0	0	254	189	0	0
Agmo	29.533333	0	0	0	0	0	0	0	0	0	0	0	0	283	160	0	0
Mybph	29.466667	0	0	0	0	0	0	0	0	0	0	0	0	339	103	0	0
Il10	29.466667	0	0	0	0	0	0	0	0	0	0	0	0	292	150	0	0
Ubxn11	29.333333	0	0	0	0	0	0	0	0	0	0	0	0	200	240	0	0
Sycp2l	29.333333	0	0	0	0	0	0	0	0	0	0	0	0	285	155	0	0
St3gal3	29.333333	0	0	0	0	0	0	0	0	0	0	0	0	297	143	0	0
Nsmce1	29.333333	0	0	0	0	0	0	0	0	0	0	0	0	236	204	0	0
Med6	29.333333	0	0	0	0	0	0	0	0	0	0	0	0	232	208	0	0
Osmr	29.200000	0	0	0	0	0	0	0	0	0	0	0	0	203	235	0	0
Cd300lf	29.200000	0	0	0	0	0	0	0	0	0	0	0	0	226	212	0	0
Sirt2	29.066667	0	0	0	0	0	0	0	0	0	0	0	0	276	160	0	0
Pira1	29.066667	0	0	0	0	0	0	0	0	0	0	0	0	254	182	0	0
Nfkbib	29.066667	0	0	0	0	0	0	0	0	0	0	0	0	276	160	0	0
Clec4n	29.066667	0	0	0	0	0	0	0	0	0	0	0	0	259	177	0	0
Ago4	29.066667	0	0	0	0	0	0	0	0	0	0	0	0	212	224	0	0
Pgm2l1	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	130	305	0	0
Jazf1	29.000000	0	0	0	0	0	0	0	77	0	0	0	0	220	138	0	0
Il6	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	216	219	0	0
E2f3	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	217	218	0	0
Ccl4	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	295	140	0	0
Rasal1	28.866667	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0
Mlxip	28.866667	0	0	0	0	0	0	0	0	0	0	0	0	236	197	0	0
Csde1	28.866667	0	0	0	0	0	0	0	0	0	0	0	0	248	185	0	0
Med4	28.800000	0	0	0	0	0	0	0	0	0	0	0	0	163	269	0	0
Sec11c	28.733333	0	0	0	0	0	0	0	0	0	0	0	0	289	142	0	0
Ffar4	28.733333	0	0	0	0	0	0	0	0	0	0	0	0	249	182	0	0
Pdcd4	28.666667	0	0	0	0	0	0	0	0	0	0	0	0	321	109	0	0
Lilrb4a	28.666667	0	0	0	0	0	0	0	0	0	0	0	0	196	234	0	0
Cst3	28.666667	0	0	0	0	0	0	0	0	0	0	0	0	265	165	0	0
Ly9	28.600000	0	0	0	0	0	0	0	0	0	0	0	0	205	224	0	0
Ecm1	28.600000	0	0	0	0	0	0	0	0	0	0	0	0	309	120	0	0
Ociad1	28.533333	0	0	0	0	0	0	0	0	0	0	0	0	234	194	0	0
Erlin2	28.466667	0	0	0	0	0	0	0	0	0	0	0	0	273	154	0	0
9230019H11Rik	28.400000	0	0	0	0	0	0	0	0	0	0	107	0	196	123	0	0
Cks2	28.333333	0	0	0	0	0	0	0	0	0	0	0	0	295	130	0	0
Tuba1c	28.266667	0	0	0	0	0	0	0	0	0	0	0	0	237	187	0	0
Setdb2	28.266667	0	0	0	0	0	0	0	0	0	0	0	0	155	269	0	0
Mon1b	28.266667	0	0	0	0	0	0	0	0	0	0	0	0	183	241	0	0
Gm45935	28.266667	0	0	0	0	0	0	0	0	0	0	0	0	155	269	0	0
Cab39l	28.266667	0	0	0	0	0	0	0	0	0	0	0	0	155	269	0	0
Snrnp35	28.200000	0	0	0	0	0	0	0	0	0	0	0	0	257	166	0	0
Slfn5	28.200000	0	0	0	0	0	0	0	0	0	0	0	0	255	168	0	0
Rilpl2	28.200000	0	0	0	0	0	0	0	0	0	0	0	0	257	166	0	0
Naalad2	28.200000	0	0	0	0	0	0	0	0	0	0	0	0	241	182	0	0
Slamf7	28.066667	0	0	0	0	0	0	0	0	0	0	0	0	229	192	0	0
Ninj1	28.066667	0	0	0	0	0	0	0	0	0	0	0	0	170	251	0	0
Itga4	28.066667	0	0	0	0	0	0	0	0	0	0	0	0	229	192	0	0
Icam1	28.066667	0	0	0	0	0	0	0	0	0	0	0	0	232	189	0	0
Trim47	27.933333	0	0	0	0	0	0	0	0	0	0	0	0	242	177	0	0
Ccdc120	27.933333	0	0	0	0	0	0	0	0	0	0	0	0	253	166	0	0
Zbtb39	27.866667	0	0	0	0	0	0	0	0	0	0	0	0	253	165	0	0
Ccrl2	27.866667	0	0	0	0	0	0	0	0	0	0	0	0	197	221	0	0
Ccdc9b	27.866667	0	0	0	0	0	0	0	0	0	0	0	0	175	243	0	0
Atp10d	27.866667	0	0	0	0	0	0	0	0	0	0	0	0	244	174	0	0
Zfp318	27.800000	0	0	0	0	0	0	0	0	0	0	0	0	267	150	0	0
Ifi204	27.800000	0	0	0	0	0	0	0	0	0	0	0	0	208	209	0	0
Hfe	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	315	100	0	0
Gmfg	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	308	107	0	0
Erlin1	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	284	131	0	0
Cradd	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	180	235	0	0
H2-Eb1	27.600000	0	0	0	0	0	0	0	0	0	0	0	0	172	242	0	0
Il4i1	27.533333	0	0	0	0	0	0	0	0	0	0	0	0	184	229	0	0
Bmp2k	27.533333	0	0	0	0	0	0	0	0	0	0	0	0	289	124	0	0
Usp6nl	27.466667	0	0	0	0	0	0	0	0	0	0	0	0	163	249	0	0
Pycr1	27.466667	0	0	0	0	0	0	0	0	0	0	0	0	143	269	0	0
Vsir	27.400000	0	0	0	0	0	0	0	0	0	0	0	0	260	151	0	0
Ifnab	27.400000	0	0	0	0	0	0	0	0	0	0	0	0	200	211	0	0
B020031M17Rik	27.400000	0	0	0	0	0	0	0	0	0	0	0	0	270	141	0	0
Cd48	27.333333	0	0	0	0	0	0	0	0	0	0	0	0	201	209	0	0
P2ry13	27.266667	0	0	0	0	0	0	0	0	0	0	0	0	247	162	0	0
Tanc1	27.200000	0	0	0	0	0	0	0	0	0	0	0	0	267	141	0	0
Snx17	27.133333	0	0	0	0	0	0	0	0	0	0	0	0	200	207	0	0
Eif2b4	27.133333	0	0	0	0	0	0	0	0	0	0	0	0	200	207	0	0
Nop2	27.066667	0	0	0	0	0	0	0	0	0	0	0	0	238	168	0	0
Dpp6	27.066667	0	0	0	0	0	0	0	0	0	0	0	0	266	140	0	0
Chrdl2	27.066667	0	0	0	0	0	0	0	0	0	0	0	0	182	224	0	0
Cd276	27.066667	0	0	0	0	0	0	0	0	0	0	0	0	218	188	0	0
Rel	27.000000	0	0	0	0	0	0	0	0	0	0	0	0	308	97	0	0
Idnk	27.000000	0	0	0	0	0	0	0	0	0	0	0	0	249	156	0	0
Tes	26.933333	0	0	0	0	0	0	0	0	0	0	0	0	258	146	0	0
Ppfibp1	26.933333	0	0	0	0	0	0	0	0	0	0	0	0	117	287	0	0
Pdlim7	26.933333	0	0	0	0	0	0	0	0	0	0	0	0	183	221	0	0
Wdfy3	26.800000	0	0	0	0	0	0	0	0	0	0	0	0	225	177	0	0
Tcf7l2	26.800000	0	0	0	0	0	0	0	0	0	0	0	0	211	191	0	0
Rchy1	26.800000	0	0	0	0	0	0	0	0	0	0	0	0	246	156	0	0
Aadacl2fm1	26.733333	0	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0
Uhrf1	26.666667	0	0	0	0	0	0	0	0	0	0	0	0	174	226	0	0
Arrdc5	26.666667	0	0	0	0	0	0	0	0	0	0	0	0	174	226	0	0
Pkdcc	26.600000	0	0	0	0	0	0	0	0	0	0	0	0	183	216	0	0
Gpr33	26.600000	0	0	0	0	0	0	0	0	0	0	0	0	180	219	0	0
Arhgef3	26.600000	0	0	0	0	0	0	0	0	0	0	0	0	175	224	0	0
Zfp619	26.533333	0	0	0	0	0	0	0	0	0	0	0	0	229	169	0	0
Tnfaip8	26.533333	0	0	0	0	0	0	0	0	0	0	0	0	247	151	0	0
Tmem268	26.466667	0	0	0	0	0	0	0	0	0	0	0	0	187	210	0	0
Pdcd1lg2	26.466667	0	0	0	0	0	0	0	0	0	0	0	0	233	164	0	0
Pcbd2	26.400000	0	0	0	0	0	0	0	0	0	0	0	0	267	129	0	0
Tspan33	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	143	252	0	0
Map3k7	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	242	153	0	0
Kynu	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	238	157	0	0
Ap1s3	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	230	165	0	0
Tagap1	26.266667	0	0	0	0	0	0	0	0	0	0	0	0	220	174	0	0
Skap2	26.266667	0	0	0	0	0	0	0	0	0	0	0	0	239	155	0	0
Tada3	26.066667	0	0	0	0	0	0	0	0	0	0	0	0	160	231	0	0
Mcur1	26.066667	0	0	0	0	0	0	0	0	0	0	0	0	169	222	0	0
Arpc4	26.066667	0	0	0	0	0	0	0	0	0	0	0	0	160	231	0	0
Trim17	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	226	164	0	0
Ikbip	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	184	206	0	0
H3f4	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	226	164	0	0
H2aw	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	226	164	0	0
Apaf1	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	184	206	0	0
Timm44	25.933333	0	0	0	0	0	0	0	0	0	0	0	0	216	173	0	0
Pik3cd	25.933333	0	0	0	0	0	98	0	0	0	0	0	0	110	181	0	0
Picalm	25.866667	0	0	0	0	0	0	0	0	0	0	0	0	186	202	0	0
Upf3b	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	133	252	0	0
Timd4	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	217	168	0	0
Tbc1d2b	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	133	252	0	0
Sema4d	25.600000	0	0	0	0	0	0	0	0	0	0	0	0	255	129	0	0
Cep162	25.600000	0	0	0	0	0	0	0	0	0	0	0	0	190	194	0	0
Plekhg3	25.533333	0	0	0	0	0	0	0	0	0	0	0	0	140	243	0	0
Plaat3	25.533333	0	0	0	0	0	0	0	0	0	0	0	0	192	191	0	0
Arhgap30	25.533333	0	0	0	0	0	0	0	0	0	0	0	0	243	140	0	0
Bin3	25.466667	0	0	0	0	0	0	0	0	0	0	0	0	186	196	0	0
Parp8	25.400000	0	0	0	0	0	0	0	0	0	0	0	0	239	142	0	0
Mtmr6	25.400000	0	0	0	0	0	0	0	0	0	0	0	0	215	166	0	0
Lbr	25.400000	0	0	0	0	0	0	0	0	0	0	0	0	266	115	0	0
Trim7	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	142	238	0	0
Polm	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0
Itpkc	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	223	157	0	0
Coq8b	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	223	157	0	0
Rnase6	25.266667	0	0	0	0	0	0	0	0	0	0	0	0	276	103	0	0
Bicdl2	25.266667	0	0	0	0	0	0	0	0	0	0	0	0	213	166	0	0
P2ry6	25.200000	0	0	0	0	0	0	0	0	0	0	0	0	164	214	0	0
Emc9	25.200000	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0
Bahd1	25.200000	0	0	0	0	0	0	0	0	0	0	0	0	223	155	0	0
Olfr824	25.133333	0	0	0	0	0	0	0	0	0	0	0	0	203	174	0	0
Mapkap1	25.133333	0	0	0	0	0	0	0	0	0	0	0	0	124	253	0	0
Hat1	25.133333	0	0	0	0	0	0	0	0	0	0	0	0	164	213	0	0
Lair1	25.066667	0	0	0	0	0	0	0	94	0	0	0	0	151	131	0	0
Zup1	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	151	224	0	0
Usp43	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	231	144	0	0
Tmem106a	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	175	200	0	0
Naa25	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	219	156	0	0
Enpp3	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	262	113	0	0
Cbr3	25.000000	0	0	0	0	186	189	0	0	0	0	0	0	0	0	0	0
Axl	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	234	141	0	0
Actr3	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	176	199	0	0
Gpr132	24.933333	0	0	0	0	0	0	0	0	0	0	0	0	254	120	0	0
Hivep2	24.866667	0	0	0	0	0	0	0	0	0	0	0	0	127	246	0	0
Casp6	24.866667	0	0	0	0	0	0	0	0	0	0	0	0	274	99	0	0
Ubac2	24.800000	0	0	0	0	0	0	0	0	0	0	0	0	134	238	0	0
Plcl2	24.800000	0	0	0	0	0	0	0	0	0	0	0	0	109	263	0	0
Oard1	24.800000	0	0	0	0	0	0	0	0	0	0	0	0	123	249	0	0
Nfya	24.800000	0	0	0	0	0	0	0	0	0	0	0	0	123	249	0	0
Raf1	24.666667	0	0	0	0	0	0	0	0	0	0	0	0	155	215	0	0
Bcl6	24.666667	0	0	0	0	0	0	0	0	0	0	0	0	243	127	0	0
Kctd17	24.600000	0	0	0	0	0	0	0	0	0	0	0	0	207	162	0	0
Ctsz	24.600000	0	0	0	0	0	0	0	0	0	0	0	0	258	111	0	0
Zfhx3	24.533333	0	0	0	0	0	0	0	0	0	0	0	0	256	112	0	0
Xrcc5	24.400000	0	0	0	0	0	0	0	0	0	0	0	0	133	233	0	0
Nek9	24.400000	0	0	0	0	0	0	0	0	0	0	0	0	181	185	0	0
Aif1	24.266667	0	0	0	0	0	0	0	0	0	0	0	0	180	184	0	0
Isoc1	24.200000	0	0	0	0	0	0	0	0	0	0	0	0	175	188	0	0
Cfap126	24.200000	0	0	0	0	0	0	0	0	0	0	0	0	216	147	0	0
Pan2	24.133333	0	0	0	0	0	0	0	0	0	0	0	0	164	198	0	0
Nudcd1	24.133333	0	0	0	0	0	0	0	0	0	0	0	0	262	100	0	0
Eny2	24.133333	0	0	0	0	0	0	0	0	0	0	0	0	262	100	0	0
Arhgef2	24.133333	0	0	0	0	0	0	0	0	0	0	0	0	148	214	0	0
Srebf2	24.066667	0	0	0	0	0	0	0	0	0	0	0	0	162	199	0	0
Spata2	24.066667	0	0	0	0	0	0	0	0	0	0	0	0	208	153	0	0
Rnf114	24.066667	0	0	0	0	0	0	0	0	0	0	0	0	208	153	0	0
Pak4	24.000000	0	0	0	0	0	0	0	0	0	0	0	0	251	109	0	0
Cflar	23.933333	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0
Rnf115	23.866667	0	0	0	0	0	0	0	0	0	0	0	0	174	184	0	0
Polr3c	23.866667	0	0	0	0	0	0	0	0	0	0	0	0	174	184	0	0
Ankib1	23.866667	0	0	0	0	0	0	0	0	0	0	0	0	210	148	0	0
Vav3	23.800000	0	0	0	0	0	0	0	0	0	0	0	0	176	181	0	0
Tmem223	23.733333	0	0	0	0	0	0	0	0	0	0	0	0	203	153	0	0
Tmem179b	23.733333	0	0	0	0	0	0	0	0	0	0	0	0	203	153	0	0
Sinhcaf	23.733333	0	0	0	0	0	0	0	0	0	0	0	0	230	126	0	0
Pi4k2b	23.733333	0	0	0	0	0	0	0	0	0	0	0	0	137	219	0	0
C1qc	23.733333	0	0	0	0	0	0	0	0	0	0	0	0	201	155	0	0
St6galnac6	23.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0
Ndufb1	23.666667	0	0	0	0	0	0	0	0	0	0	0	0	126	229	0	0
Lin54	23.666667	0	0	0	0	0	0	0	0	0	0	0	0	176	179	0	0
Gcgr	23.666667	0	0	0	0	0	0	0	0	184	171	0	0	0	0	0	0
Cpsf2	23.666667	0	0	0	0	0	0	0	0	0	0	0	0	126	229	0	0
Pnpla3	23.600000	0	0	0	0	0	0	0	0	0	0	0	0	206	148	0	0
Slc14a2	23.533333	0	0	0	0	0	0	0	0	0	0	0	0	218	135	0	0
Ly96	23.533333	0	0	0	0	0	0	0	0	0	0	0	0	193	160	0	0
Nfkbie	23.466667	0	0	0	0	0	0	0	0	0	0	0	0	205	147	0	0
