Target_genes	Pitx1|Average	SRX195355|Hindlimb	SRX195357|Hindlimb	SRX2978809|Hindlimb	SRX3205484|Squamous_cell_carcinoma	SRX3205486|Squamous_cell_carcinoma	SRX3205490|Squamous_cell_carcinoma	SRX3205491|Squamous_cell_carcinoma	SRX5283003|Squamous_cell_carcinoma	STRING
Arhgap11a	44.375000	0	0	355	0	0	0	0	0	0
Kcnn1	44.250000	85	0	269	0	0	0	0	0	0
Zfp936	44.125000	0	0	353	0	0	0	0	0	0
Rarg	44.125000	0	81	272	0	0	0	0	0	0
Ppp1r14a	44.125000	0	134	219	0	0	0	0	0	0
Ngfr	44.125000	0	85	268	0	0	0	0	0	0
Naa40	44.125000	0	83	270	0	0	0	0	0	0
Lhfp	44.125000	69	0	284	0	0	0	0	0	0
Gdf15	44.125000	0	0	353	0	0	0	0	0	0
Synpo	44.000000	0	0	142	0	0	210	0	0	0
Lmntd1	44.000000	166	0	186	0	0	0	0	0	0
Cpt1a	44.000000	0	174	178	0	0	0	0	0	0
Asb16	44.000000	0	0	352	0	0	0	0	0	0
Eml1	43.875000	0	138	213	0	0	0	0	0	0
Zfp719	43.750000	0	0	350	0	0	0	0	0	0
Sdc2	43.750000	0	135	215	0	0	0	0	0	0
Ppp1r37	43.750000	0	0	350	0	0	0	0	0	0
Eif3c	43.750000	0	0	350	0	0	0	0	0	0
Usp1	43.625000	0	0	349	0	0	0	0	0	0
Trip12	43.625000	0	0	349	0	0	0	0	0	0
Tcerg1	43.625000	0	0	349	0	0	0	0	0	0
Sema3a	43.625000	0	0	349	0	0	0	0	0	0
Sart1	43.625000	0	0	349	0	0	0	0	0	0
Fbxo36	43.625000	0	0	349	0	0	0	0	0	0
Smarca2	43.500000	0	95	253	0	0	0	0	0	0
Rgl1	43.500000	0	158	190	0	0	0	0	0	0
Bahcc1	43.500000	0	0	348	0	0	0	0	0	0
Atad1	43.500000	0	0	0	108	0	240	0	0	0
Rtn4rl2	43.375000	0	150	197	0	0	0	0	0	0
Ptpn23	43.375000	0	97	250	0	0	0	0	0	0
Pou2f1	43.375000	0	0	0	125	0	222	0	0	0
Plxnb2	43.375000	0	0	347	0	0	0	0	0	0
Tmem205	43.250000	214	0	132	0	0	0	0	0	0
R3hdm2	43.250000	0	123	223	0	0	0	0	0	0
Phax	43.250000	0	0	346	0	0	0	0	0	0
Mrpl3	43.250000	0	0	346	0	0	0	0	0	0
Hyal2	43.250000	0	0	346	0	0	0	0	0	0
Hyal1	43.250000	0	0	346	0	0	0	0	0	0
Ccdc159	43.250000	214	0	132	0	0	0	0	0	0
Ambra1	43.250000	0	0	346	0	0	0	0	0	0
Aldh7a1	43.250000	0	0	346	0	0	0	0	0	0
Tcam1	43.125000	0	68	146	0	0	131	0	0	0
Ssbp3	43.125000	0	0	345	0	0	0	0	0	0
Smarcd2	43.125000	0	68	146	0	0	131	0	0	0
Sh3bp5	43.125000	0	0	345	0	0	0	0	0	0
Ptdss1	43.125000	0	0	345	0	0	0	0	0	0
Mterf3	43.125000	0	0	345	0	0	0	0	0	0
Metap2	43.125000	0	0	345	0	0	0	0	0	0
Hells	43.125000	130	0	215	0	0	0	0	0	0
Evi5l	43.125000	84	0	261	0	0	0	0	0	0
Zcchc24	43.000000	0	0	344	0	0	0	0	0	0
Tle3	43.000000	0	0	344	0	0	0	0	0	0
Prmt5	43.000000	0	0	344	0	0	0	0	0	0
Actb	43.000000	0	0	344	0	0	0	0	0	0
Lsm4	42.875000	147	0	196	0	0	0	0	0	0
Zbtb45	42.750000	0	0	342	0	0	0	0	0	0
Tti2	42.750000	0	0	342	0	0	0	0	0	0
Tacr3	42.750000	0	0	342	0	0	0	0	0	0
Mob1b	42.750000	0	0	197	0	0	145	0	0	0
Ankrd54	42.750000	0	0	342	0	0	0	0	0	0
Zmat3	42.625000	0	148	193	0	0	0	0	0	0
Snx11	42.625000	75	0	177	0	0	89	0	0	0
Slx4ip	42.625000	0	0	188	153	0	0	0	0	0
Pdgfc	42.625000	0	129	212	0	0	0	0	0	0
Mkks	42.625000	0	0	188	153	0	0	0	0	0
Lta4h	42.625000	0	0	220	121	0	0	0	0	0
Gtf3c6	42.625000	0	113	228	0	0	0	0	0	0
Gcc1	42.625000	0	0	0	128	0	213	0	0	0
Cnot10	42.625000	0	0	341	0	0	0	0	0	0
Arf5	42.625000	0	0	0	128	0	213	0	0	0
Ntn5	42.375000	0	167	172	0	0	0	0	0	0
Dennd11	42.375000	0	0	0	339	0	0	0	0	0
Zfand6	42.250000	0	87	251	0	0	0	0	0	0
Vcp	42.250000	84	0	254	0	0	0	0	0	0
Suox	42.250000	0	118	220	0	0	0	0	0	0
Mfap4	42.250000	0	124	214	0	0	0	0	0	0
Cic	42.250000	0	0	338	0	0	0	0	0	0
Rangap1	42.125000	0	0	337	0	0	0	0	0	0
Ing2	42.125000	0	0	337	0	0	0	0	0	0
Atf2	42.125000	0	0	337	0	0	0	0	0	0
Tenm4	42.000000	0	0	336	0	0	0	0	0	0
Smim26	42.000000	0	0	336	0	0	0	0	0	0
Psmg1	42.000000	0	0	336	0	0	0	0	0	0
Hoxa11	42.000000	0	141	195	0	0	0	0	0	0
Grasp	42.000000	0	0	336	0	0	0	0	0	0
Zfp408	41.875000	0	0	335	0	0	0	0	0	0
Arhgap1	41.875000	0	0	335	0	0	0	0	0	0
Tsku	41.750000	0	0	334	0	0	0	0	0	0
Tgm1	41.750000	0	0	0	0	172	162	0	0	0
Med6	41.750000	0	0	334	0	0	0	0	0	0
Ift27	41.750000	0	0	334	0	0	0	0	0	0
H4c1	41.750000	0	0	206	0	0	128	0	0	0
H3c1	41.750000	0	0	206	0	0	128	0	0	0
H1f1	41.750000	0	0	206	0	0	128	0	0	0
Ufl1	41.625000	0	0	192	0	0	141	0	0	0
Tmem267	41.625000	0	0	135	123	75	0	0	0	0
Olfml2a	41.625000	0	96	237	0	0	0	0	0	0
Lhx9	41.625000	0	0	333	0	0	0	0	0	0
0610040J01Rik	41.625000	0	150	183	0	0	0	0	0	0
Sgk1	41.500000	0	173	159	0	0	0	0	0	0
Faap20	41.500000	0	0	332	0	0	0	0	0	0
Atg10	41.500000	0	0	332	0	0	0	0	0	0
Hoxa5	41.375000	0	147	184	0	0	0	0	0	0
Dbr1	41.375000	0	0	331	0	0	0	0	0	0
Cerkl	41.375000	104	0	227	0	0	0	0	0	0
Ankrd13c	41.375000	0	139	192	0	0	0	0	0	0
Phc1	41.250000	93	0	237	0	0	0	0	0	0
Mup22	41.250000	0	107	223	0	0	0	0	0	0
Hvcn1	41.250000	0	0	330	0	0	0	0	0	0
Hspb8	41.250000	0	132	198	0	0	0	0	0	0
Ccdc107	41.250000	0	0	330	0	0	0	0	0	0
Rab43	41.125000	0	0	248	0	0	81	0	0	0
Vwa8	41.000000	0	0	328	0	0	0	0	0	0
Trim2	41.000000	0	0	328	0	0	0	0	0	0
Rps19	41.000000	97	0	231	0	0	0	0	0	0
Ppp6r3	41.000000	0	0	328	0	0	0	0	0	0
Mnd1	41.000000	0	0	328	0	0	0	0	0	0
Inka1	41.000000	0	0	328	0	0	0	0	0	0
Gm4791	41.000000	0	184	144	0	0	0	0	0	0
Vps50	40.875000	0	0	327	0	0	0	0	0	0
Srrt	40.875000	182	145	0	0	0	0	0	0	0
Pdcd4	40.875000	0	0	209	0	118	0	0	0	0
Hepacam2	40.875000	0	0	327	0	0	0	0	0	0
Nicn1	40.750000	0	0	326	0	0	0	0	0	0
Gse1	40.750000	0	137	189	0	0	0	0	0	0
Card14	40.750000	0	0	326	0	0	0	0	0	0
Tstd2	40.625000	0	0	325	0	0	0	0	0	0
Pramel12	40.625000	0	0	325	0	0	0	0	0	0
Ncbp1	40.625000	0	0	325	0	0	0	0	0	0
Mex3c	40.625000	0	171	154	0	0	0	0	0	0
Mapkapk5	40.625000	0	0	325	0	0	0	0	0	0
Esrp2	40.625000	110	215	0	0	0	0	0	0	0
Egr1	40.625000	0	0	325	0	0	0	0	0	0
Bcl2l12	40.500000	0	0	324	0	0	0	0	0	0
Rfx1	40.375000	77	0	246	0	0	0	0	0	0
Ing1	40.375000	0	0	323	0	0	0	0	0	0
H4c14	40.375000	0	0	323	0	0	0	0	0	0
H1f2	40.375000	0	95	123	0	0	105	0	0	0
Gls	40.375000	0	0	323	0	0	0	0	0	0
Cars2	40.375000	0	0	323	0	0	0	0	0	0
Ndufs3	40.250000	0	0	322	0	0	0	0	0	0
Kbtbd4	40.250000	0	0	322	0	0	0	0	0	0
Dnaja4	40.125000	0	0	321	0	0	0	0	0	0
Txnl1	40.000000	0	0	320	0	0	0	0	0	0
Supt7l	40.000000	0	0	320	0	0	0	0	0	0
Slc4a1ap	40.000000	0	0	320	0	0	0	0	0	0
Gm13288	40.000000	0	131	0	0	0	189	0	0	0
Tonsl	39.875000	0	0	319	0	0	0	0	0	0
Ror2	39.750000	0	104	214	0	0	0	0	0	0
Pdgfa	39.750000	139	0	179	0	0	0	0	0	0
Ubb	39.625000	0	0	317	0	0	0	0	0	0
Tmc7	39.625000	0	0	317	0	0	0	0	0	0
Zscan22	39.375000	0	0	315	0	0	0	0	0	0
Zc3h6	39.375000	0	0	315	0	0	0	0	0	0
Miga1	39.375000	0	0	315	0	0	0	0	0	0
4931408C20Rik	39.375000	0	0	152	163	0	0	0	0	0
Zfp651	39.250000	114	0	200	0	0	0	0	0	0
Strn4	39.250000	0	0	314	0	0	0	0	0	0
Slc16a7	39.250000	0	155	159	0	0	0	0	0	0
Hkdc1	39.250000	0	0	314	0	0	0	0	0	0
Golga7	39.250000	0	0	314	0	0	0	0	0	0
Fkrp	39.250000	0	0	314	0	0	0	0	0	0
Clec12a	39.250000	0	0	314	0	0	0	0	0	0
Cep41	39.250000	132	0	182	0	0	0	0	0	0
Zfp180	39.125000	0	0	313	0	0	0	0	0	0
Stk35	39.125000	0	0	313	0	0	0	0	0	0
Phf12	39.125000	0	0	313	0	0	0	0	0	0
Ndufb3	39.125000	0	0	313	0	0	0	0	0	0
Hexim2	39.125000	0	0	222	0	0	91	0	0	0
Got1	39.125000	87	0	226	0	0	0	0	0	0
Fam126b	39.125000	0	0	313	0	0	0	0	0	0
Tmem242	39.000000	0	0	216	0	0	96	0	0	0
Tcf15	39.000000	0	107	205	0	0	0	0	0	0
Pot1a	39.000000	96	0	216	0	0	0	0	0	0
Elf5	39.000000	0	0	0	0	0	312	0	0	0
Zfp658	38.875000	0	0	311	0	0	0	0	0	0
Stx5a	38.875000	0	83	228	0	0	0	0	0	0
Hrob	38.875000	0	0	311	0	0	0	0	0	0
1700092M07Rik	38.875000	0	83	228	0	0	0	0	0	0
Shld1	38.750000	0	0	235	0	0	75	0	0	0
Zfp110	38.625000	114	0	195	0	0	0	0	0	0
Tecr	38.625000	0	0	309	0	0	0	0	0	0
Slc35e4	38.625000	144	0	165	0	0	0	0	0	0
Rai1	38.625000	0	0	309	0	0	0	0	0	0
Pak1ip1	38.625000	0	0	309	0	0	0	0	0	0
Tmem218	38.500000	0	0	308	0	0	0	0	0	0
Pdha1	38.500000	0	208	100	0	0	0	0	0	0
Mdm4	38.500000	0	0	120	188	0	0	0	0	0
Cyth3	38.500000	97	0	211	0	0	0	0	0	0
Cplx4	38.500000	0	128	180	0	0	0	0	0	0
Apool	38.500000	0	0	308	0	0	0	0	0	0
Aggf1	38.500000	0	0	308	0	0	0	0	0	0
Slc16a14	38.375000	0	87	220	0	0	0	0	0	0
Schip1	38.375000	0	0	307	0	0	0	0	0	0
Sumf1	38.250000	0	97	209	0	0	0	0	0	0
Hibadh	38.250000	0	0	306	0	0	0	0	0	0
Eps15l1	38.250000	0	97	209	0	0	0	0	0	0
Defb2	38.250000	209	97	0	0	0	0	0	0	0
Crlf1	38.250000	0	0	306	0	0	0	0	0	0
Casz1	38.250000	87	219	0	0	0	0	0	0	0
Slc29a2	38.125000	0	0	305	0	0	0	0	0	0
Nat10	38.125000	0	0	159	146	0	0	0	0	0
Mcfd2	38.125000	0	150	0	0	0	155	0	0	0
Hoxa2	38.125000	0	0	305	0	0	0	0	0	0
Hoxa1	38.125000	0	0	305	0	0	0	0	0	0
Eid2	38.125000	0	0	305	0	0	0	0	0	0
Pym1	38.000000	0	0	106	0	0	198	0	0	0
Kpna7	38.000000	0	78	226	0	0	0	0	0	0
Dgka	38.000000	0	0	106	0	0	198	0	0	0
Tmeff1	37.875000	0	0	303	0	0	0	0	0	0
Tia1	37.875000	0	0	303	0	0	0	0	0	0
Ss18l2	37.875000	0	0	303	0	0	0	0	0	0
Pus10	37.875000	0	0	303	0	0	0	0	0	0
H3c8	37.875000	0	0	178	0	0	125	0	0	0
H2ac10	37.875000	0	0	178	0	0	125	0	0	0
Gjb4	37.875000	0	0	0	137	0	166	0	0	0
Eif4enif1	37.875000	0	0	166	137	0	0	0	0	0
Cs	37.875000	0	0	303	0	0	0	0	0	0
Atp6ap1	37.875000	0	0	303	0	0	0	0	0	0
Prpsap1	37.750000	0	0	302	0	0	0	0	0	0
Pdzph1	37.750000	90	0	212	0	0	0	0	0	0
Gm6712	37.750000	0	0	302	0	0	0	0	0	0
Etfrf1	37.750000	0	0	302	0	0	0	0	0	0
Elavl2	37.750000	0	0	302	0	0	0	0	0	0
Clec2d	37.750000	153	0	149	0	0	0	0	0	0
Casc1	37.750000	0	0	302	0	0	0	0	0	0
Arl15	37.750000	0	0	302	0	0	0	0	0	0
H3c7	37.625000	0	0	183	0	0	118	0	0	0
H2bc9	37.625000	0	0	183	0	0	118	0	0	0
Topbp1	37.500000	0	0	300	0	0	0	0	0	0
Mymk	37.500000	0	118	182	0	0	0	0	0	0
Mmgt2	37.500000	0	0	178	0	0	122	0	0	0
Lrrc75a	37.500000	0	0	178	0	0	122	0	0	0
Adgrl1	37.500000	0	0	300	0	0	0	0	0	0
Rmnd5b	37.375000	0	0	299	0	0	0	0	0	0
Phox2a	37.375000	0	0	299	0	0	0	0	0	0
Eif3d	37.375000	0	0	299	0	0	0	0	0	0
Cd300ld3	37.375000	0	107	192	0	0	0	0	0	0
Slc25a32	37.250000	0	0	298	0	0	0	0	0	0
Rtl3	37.250000	0	0	298	0	0	0	0	0	0
Erich1	37.250000	0	0	298	0	0	0	0	0	0
Dcaf13	37.250000	0	0	298	0	0	0	0	0	0
Commd4	37.250000	0	0	298	0	0	0	0	0	0
Acad12	37.250000	0	0	298	0	0	0	0	0	0
A530016L24Rik	37.250000	0	0	298	0	0	0	0	0	0
Speer4e	37.125000	0	0	0	230	0	0	67	0	0
Crcp	37.125000	0	0	297	0	0	0	0	0	0
Cp	37.125000	190	0	107	0	0	0	0	0	0
Cep120	37.125000	85	0	212	0	0	0	0	0	0
Asl	37.125000	0	0	297	0	0	0	0	0	0
Ubald2	37.000000	0	0	134	0	0	162	0	0	0
Tprkb	37.000000	0	0	167	0	0	129	0	0	0
Tceanc	37.000000	116	0	180	0	0	0	0	0	0
Slc18b1	37.000000	0	0	296	0	0	0	0	0	0
Pkia	37.000000	0	0	296	0	0	0	0	0	0
Pex12	37.000000	133	0	163	0	0	0	0	0	0
Pde3a	37.000000	0	149	147	0	0	0	0	0	0
Ncam1	37.000000	0	0	296	0	0	0	0	0	0
Nat8f1	37.000000	0	0	167	0	0	129	0	0	0
Mospd3	37.000000	0	0	296	0	0	0	0	0	0
Gpn3	37.000000	124	0	172	0	0	0	0	0	0
Fam216a	37.000000	124	0	172	0	0	0	0	0	0
Cdk20	37.000000	145	0	151	0	0	0	0	0	0
Ap2b1	37.000000	133	0	163	0	0	0	0	0	0
Rbks	36.875000	0	0	211	84	0	0	0	0	0
Rassf9	36.875000	0	160	135	0	0	0	0	0	0
Heatr1	36.875000	92	0	203	0	0	0	0	0	0
Babam2	36.875000	0	0	211	84	0	0	0	0	0
Tac1	36.750000	0	82	212	0	0	0	0	0	0
Slc10a4	36.750000	0	0	294	0	0	0	0	0	0
Lrig3	36.750000	106	68	120	0	0	0	0	0	0
Jak2	36.750000	0	140	154	0	0	0	0	0	0
Hes7	36.750000	0	0	294	0	0	0	0	0	0
H4c2	36.750000	0	0	206	0	0	88	0	0	0
Aloxe3	36.750000	0	0	294	0	0	0	0	0	0
Zfp143	36.625000	104	0	189	0	0	0	0	0	0
Tufm	36.625000	0	0	293	0	0	0	0	0	0
Ndufa4l2	36.625000	0	0	293	0	0	0	0	0	0
Man2c1	36.500000	0	0	292	0	0	0	0	0	0
Kifbp	36.500000	133	0	159	0	0	0	0	0	0
Shmt1	36.375000	0	0	291	0	0	0	0	0	0
Rpl5	36.375000	0	0	291	0	0	0	0	0	0
Nck2	36.375000	0	0	291	0	0	0	0	0	0
Cyth1	36.375000	0	146	145	0	0	0	0	0	0
Crb2	36.375000	0	0	291	0	0	0	0	0	0
Aftph	36.375000	0	0	150	0	141	0	0	0	0
Rpl22	36.250000	0	0	290	0	0	0	0	0	0
Plekha8	36.250000	0	0	290	0	0	0	0	0	0
Megf9	36.250000	0	0	290	0	0	0	0	0	0
Fkbp14	36.250000	0	0	290	0	0	0	0	0	0
Cntln	36.250000	0	0	290	0	0	0	0	0	0
Bmp5	36.250000	0	0	290	0	0	0	0	0	0
2410002F23Rik	36.250000	0	0	290	0	0	0	0	0	0
Zfp120	36.125000	0	0	289	0	0	0	0	0	0
Tbl1x	36.125000	0	107	182	0	0	0	0	0	0
Cbx5	36.125000	0	146	143	0	0	0	0	0	0
Stambpl1	36.000000	0	0	288	0	0	0	0	0	0
Rnf150	36.000000	0	0	288	0	0	0	0	0	0
Fam189a2	36.000000	0	0	0	0	0	288	0	0	0
Wbp2	35.875000	114	0	173	0	0	0	0	0	0
Tpmt	35.875000	143	0	144	0	0	0	0	0	0
Srek1	35.875000	0	0	0	0	0	287	0	0	0
Pcp4l1	35.875000	0	169	118	0	0	0	0	0	0
Kdm1b	35.875000	143	0	144	0	0	0	0	0	0
Grhl3	35.875000	0	91	196	0	0	0	0	0	0
Erg	35.875000	0	0	287	0	0	0	0	0	0
Aldh4a1	35.875000	0	128	159	0	0	0	0	0	0
Trim59	35.750000	0	0	0	0	0	286	0	0	0
Smpd1	35.750000	0	68	218	0	0	0	0	0	0
Slc39a13	35.750000	64	0	222	0	0	0	0	0	0
Oaf	35.750000	0	82	204	0	0	0	0	0	0
Eif4a1	35.750000	0	0	286	0	0	0	0	0	0
E2f1	35.750000	0	0	286	0	0	0	0	0	0
Casp7	35.750000	0	0	286	0	0	0	0	0	0
Riok1	35.625000	0	150	135	0	0	0	0	0	0
Magi1	35.625000	0	0	285	0	0	0	0	0	0
Gng2	35.625000	0	0	285	0	0	0	0	0	0
Cage1	35.625000	0	150	135	0	0	0	0	0	0
Bend3	35.625000	0	0	285	0	0	0	0	0	0
Tpm4	35.500000	0	0	284	0	0	0	0	0	0
Pak6	35.500000	0	0	0	138	0	146	0	0	0
Kif22	35.500000	0	0	284	0	0	0	0	0	0
Itprip	35.500000	0	0	284	0	0	0	0	0	0
Igfbp4	35.500000	109	0	175	0	0	0	0	0	0
Ccni	35.500000	0	0	284	0	0	0	0	0	0
Atp6v0d1	35.500000	0	0	284	0	0	0	0	0	0
Agrp	35.500000	0	0	284	0	0	0	0	0	0
2010109A12Rik	35.500000	0	0	284	0	0	0	0	0	0
Zfp113	35.375000	0	0	283	0	0	0	0	0	0
Wt1	35.375000	0	0	283	0	0	0	0	0	0
Gm11213	35.375000	0	0	0	106	177	0	0	0	0
Gas2	35.375000	127	0	156	0	0	0	0	0	0
Cops6	35.375000	0	0	283	0	0	0	0	0	0
Aff2	35.375000	0	0	283	0	0	0	0	0	0
Wdr6	35.250000	104	0	178	0	0	0	0	0	0
Plekhg1	35.250000	0	0	282	0	0	0	0	0	0
Kpna6	35.250000	0	0	282	0	0	0	0	0	0
Fam174c	35.250000	0	0	282	0	0	0	0	0	0
Cox16	35.250000	0	0	282	0	0	0	0	0	0
Tnpo3	35.125000	0	0	281	0	0	0	0	0	0
Rps5	35.125000	0	0	281	0	0	0	0	0	0
Rnf225	35.125000	0	0	281	0	0	0	0	0	0
Gmnc	35.125000	0	0	281	0	0	0	0	0	0
Eps15	35.125000	0	107	0	0	0	174	0	0	0
Slc38a9	35.000000	0	0	280	0	0	0	0	0	0
Slc2a9	35.000000	0	0	280	0	0	0	0	0	0
Slc25a51	35.000000	0	150	130	0	0	0	0	0	0
Setd2	35.000000	0	0	280	0	0	0	0	0	0
Scd4	35.000000	0	0	280	0	0	0	0	0	0
Prss16	35.000000	0	0	0	0	0	280	0	0	0
Pi15	35.000000	0	0	280	0	0	0	0	0	0
Olfr1109	35.000000	0	0	280	0	0	0	0	0	0
Lhfpl1	35.000000	0	97	183	0	0	0	0	0	0
Igsf3	35.000000	0	136	144	0	0	0	0	0	0
Ccng2	35.000000	0	0	280	0	0	0	0	0	0
Poll	34.875000	0	142	137	0	0	0	0	0	0
Mvb12a	34.875000	94	0	185	0	0	0	0	0	0
H4c8	34.875000	0	0	154	0	0	125	0	0	0
Gm13275	34.875000	143	0	0	0	0	136	0	0	0
Dpcd	34.875000	0	142	137	0	0	0	0	0	0
Cep85	34.875000	0	0	149	0	0	130	0	0	0
Senp8	34.750000	164	114	0	0	0	0	0	0	0
Ndufa12	34.750000	0	0	192	0	0	86	0	0	0
Myo9a	34.750000	164	114	0	0	0	0	0	0	0
Zcchc8	34.625000	0	0	277	0	0	0	0	0	0
Zbtb16	34.625000	0	0	277	0	0	0	0	0	0
Slc16a13	34.625000	0	0	277	0	0	0	0	0	0
Ppia	34.625000	0	0	277	0	0	0	0	0	0
Cdk5rap2	34.625000	0	0	277	0	0	0	0	0	0
Zfp553	34.500000	0	0	276	0	0	0	0	0	0
Urm1	34.500000	0	0	276	0	0	0	0	0	0
Tmem126a	34.500000	0	0	276	0	0	0	0	0	0
Lhx2	34.500000	0	0	276	0	0	0	0	0	0
Zkscan2	34.375000	0	0	275	0	0	0	0	0	0
Zc3hc1	34.375000	0	0	275	0	0	0	0	0	0
Ube3b	34.375000	0	0	275	0	0	0	0	0	0
Rngtt	34.375000	0	0	275	0	0	0	0	0	0
Rbm42	34.375000	0	0	275	0	0	0	0	0	0
Larp4	34.375000	0	0	275	0	0	0	0	0	0
Kctd10	34.375000	0	0	275	0	0	0	0	0	0
Icam5	34.375000	0	0	275	0	0	0	0	0	0
Icam4	34.375000	0	0	275	0	0	0	0	0	0
Fam53b	34.375000	0	126	149	0	0	0	0	0	0
Cnot1	34.375000	103	0	172	0	0	0	0	0	0
Suco	34.250000	0	0	274	0	0	0	0	0	0
Strip1	34.250000	0	0	274	0	0	0	0	0	0
Rpl39	34.250000	0	0	274	0	0	0	0	0	0
Napg	34.250000	0	0	274	0	0	0	0	0	0
Maml1	34.250000	0	0	274	0	0	0	0	0	0
Khdc1b	34.250000	0	107	167	0	0	0	0	0	0
Tfpt	34.125000	0	0	273	0	0	0	0	0	0
Siva1	34.125000	0	0	273	0	0	0	0	0	0
Rnf220	34.125000	0	99	174	0	0	0	0	0	0
Prpf31	34.125000	0	0	273	0	0	0	0	0	0
Pkm	34.125000	0	0	273	0	0	0	0	0	0
Ndufs8	34.125000	0	0	273	0	0	0	0	0	0
Emc7	34.125000	0	0	114	90	0	69	0	0	0
Dse	34.125000	0	115	158	0	0	0	0	0	0
Cdc42bpb	34.125000	0	0	273	0	0	0	0	0	0
Tyk2	34.000000	0	0	272	0	0	0	0	0	0
Timm9	34.000000	0	0	272	0	0	0	0	0	0
Tgfa	34.000000	0	0	272	0	0	0	0	0	0
Sugct	34.000000	0	0	272	0	0	0	0	0	0
Sptbn4	34.000000	0	0	272	0	0	0	0	0	0
Phf21b	34.000000	0	0	272	0	0	0	0	0	0
Pbk	34.000000	0	0	272	0	0	0	0	0	0
Ogn	34.000000	131	141	0	0	0	0	0	0	0
Mplkip	34.000000	0	0	272	0	0	0	0	0	0
Hao2	34.000000	0	128	144	0	0	0	0	0	0
Blvrb	34.000000	0	0	272	0	0	0	0	0	0
2700049A03Rik	34.000000	0	0	272	0	0	0	0	0	0
Zwilch	33.875000	0	0	271	0	0	0	0	0	0
Tut7	33.875000	0	0	271	0	0	0	0	0	0
Slitrk6	33.875000	0	0	271	0	0	0	0	0	0
Rpl4	33.875000	0	0	271	0	0	0	0	0	0
Prpf18	33.875000	0	0	271	0	0	0	0	0	0
Pigm	33.875000	0	0	271	0	0	0	0	0	0
Otud3	33.875000	0	0	271	0	0	0	0	0	0
Lnp1	33.875000	0	0	271	0	0	0	0	0	0
Kmt5c	33.875000	0	0	271	0	0	0	0	0	0
Galk2	33.875000	0	0	271	0	0	0	0	0	0
Cops2	33.875000	0	0	271	0	0	0	0	0	0
Arid4a	33.875000	0	0	271	0	0	0	0	0	0
Ube2j1	33.750000	0	0	270	0	0	0	0	0	0
Tysnd1	33.750000	0	0	270	0	0	0	0	0	0
Ttc32	33.750000	0	0	270	0	0	0	0	0	0
Spats2l	33.750000	112	0	158	0	0	0	0	0	0
Slc39a9	33.750000	0	0	270	0	0	0	0	0	0
Rcn3	33.750000	0	0	270	0	0	0	0	0	0
Rbm25	33.750000	0	137	133	0	0	0	0	0	0
Rbbp5	33.750000	0	0	270	0	0	0	0	0	0
Ppm1d	33.750000	0	0	270	0	0	0	0	0	0
Lrrc72	33.750000	0	0	0	153	0	117	0	0	0
Lpcat4	33.750000	0	0	0	133	0	137	0	0	0
Il11ra1	33.750000	0	0	270	0	0	0	0	0	0
Gadd45gip1	33.750000	0	0	270	0	0	0	0	0	0
Erh	33.750000	0	0	270	0	0	0	0	0	0
Ddx27	33.750000	0	0	270	0	0	0	0	0	0
Chchd3	33.750000	0	0	270	0	0	0	0	0	0
Ascc3	33.750000	0	106	0	0	0	164	0	0	0
Zdhhc5	33.625000	0	0	269	0	0	0	0	0	0
P2rx7	33.625000	0	0	269	0	0	0	0	0	0
Mnat1	33.625000	0	0	269	0	0	0	0	0	0
Ftl1	33.625000	0	0	269	0	0	0	0	0	0
Vps33b	33.500000	0	161	107	0	0	0	0	0	0
Spop	33.500000	143	0	125	0	0	0	0	0	0
Spaca6	33.500000	0	0	268	0	0	0	0	0	0
Med24	33.500000	0	0	268	0	0	0	0	0	0
Hivep1	33.500000	0	0	268	0	0	0	0	0	0
Usp39	33.375000	0	0	267	0	0	0	0	0	0
Stra6	33.375000	0	0	267	0	0	0	0	0	0
Olfr287	33.375000	0	0	0	0	137	130	0	0	0
Bud13	33.375000	0	0	267	0	0	0	0	0	0
Acp2	33.375000	0	0	267	0	0	0	0	0	0
0610030E20Rik	33.375000	0	0	267	0	0	0	0	0	0
Zswim6	33.250000	0	0	266	0	0	0	0	0	0
Megf8	33.250000	146	0	120	0	0	0	0	0	0
Grhl1	33.250000	0	0	266	0	0	0	0	0	0
Cbll1	33.250000	0	0	266	0	0	0	0	0	0
Snrnp200	33.125000	0	0	186	0	0	79	0	0	0
Kdm5a	33.125000	0	0	265	0	0	0	0	0	0
1810024B03Rik	33.125000	0	0	186	0	0	79	0	0	0
Nphp1	33.000000	133	0	131	0	0	0	0	0	0
Mtln	33.000000	133	0	131	0	0	0	0	0	0
Ino80c	33.000000	0	0	264	0	0	0	0	0	0
Hes5	33.000000	0	97	167	0	0	0	0	0	0
Tspan32	32.875000	0	0	263	0	0	0	0	0	0
Tedc1	32.875000	0	0	263	0	0	0	0	0	0
Taf6l	32.875000	0	0	263	0	0	0	0	0	0
Ivd	32.875000	0	0	263	0	0	0	0	0	0
Fam53c	32.875000	0	0	263	0	0	0	0	0	0
Crip1	32.875000	0	0	263	0	0	0	0	0	0
Zfp62	32.750000	0	0	262	0	0	0	0	0	0
Tmx2	32.750000	0	0	262	0	0	0	0	0	0
Stap2	32.750000	0	0	262	0	0	0	0	0	0
Sntg2	32.750000	0	118	144	0	0	0	0	0	0
Mpnd	32.750000	0	0	262	0	0	0	0	0	0
