Target_genes	Ebf1|Average	SRX018714|38B9	SRX587732|3T3-L1	SRX120206|B_cells	SRX120207|B_cells	SRX120424|B_cells	SRX14998422|Embryonic_liver	SRX14998423|Embryonic_liver	SRX7807060|Embryonic_liver	SRX7807062|Embryonic_liver	SRX9204114|Embryonic_liver	SRX9204116|Embryonic_liver	SRX6755615|ES_cells	SRX392756|HAFTL	SRX392757|HAFTL	SRX392758|HAFTL	SRX392759|HAFTL	SRX392760|HAFTL	SRX7821130|Hematopoietic_progenitors	SRX7821131|Hematopoietic_progenitors	SRX7821132|Hematopoietic_progenitors	SRX9204112|Leukemic_cell	SRX9204113|Leukemic_cell	SRX2162539|Pre-B_cells	SRX2162540|Pre-B_cells	SRX9350559|Pre-B_cells	SRX9350560|Pre-B_cells	SRX021878|Pro-B_cells	SRX1038471|Pro-B_cells	SRX1038472|Pro-B_cells	SRX1038473|Pro-B_cells	SRX1038474|Pro-B_cells	SRX120204|Pro-B_cells	SRX120205|Pro-B_cells	SRX14935391|Pro-B_cells	SRX14935393|Pro-B_cells	SRX19713228|Pro-B_cells	SRX19713229|Pro-B_cells	SRX2136459|Pro-B_cells	SRX2136460|Pro-B_cells	SRX2136461|Pro-B_cells	SRX2136462|Pro-B_cells	SRX3413799|Pro-B_cells	SRX3413800|Pro-B_cells	SRX3413801|Pro-B_cells	SRX3413802|Pro-B_cells	SRX3413803|Pro-B_cells	SRX3413820|Pro-B_cells	SRX3413821|Pro-B_cells	SRX9204115|Pro-B_cells	SRX9204117|Pro-B_cells	STRING
Acbd3	13.280000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	214	0
Znrf2	13.260000	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0
Ifnl3	13.260000	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	168	0	0	0
Dnaja2	13.260000	0	0	0	0	0	0	0	0	127	170	0	0	0	0	0	0	0	0	0	0	137	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0
Zfp574	13.240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	89	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	117	0
Snx15	13.240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	307	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim24	13.240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0
Lep	13.240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0
Grik5	13.240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	89	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	117	0
Gm48552	13.240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0
Tsc22d2	13.220000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	145	77	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc9	13.200000	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	199	0
Uaca	13.200000	0	0	0	0	0	0	0	0	0	0	0	0	133	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	160	0	0	0	0	0	0	0	0	0	0	0
Tec	13.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pus3	13.200000	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0
Ddx25	13.200000	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0
Rnf14	13.180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	160	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	133	0
Rasa1	13.180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	154	0
Abhd14a	13.180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syk	13.140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	139	154	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0
Hs6st1	13.120000	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	201	0	190	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd44	13.120000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlx1	13.100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	219	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smurf2	13.100000	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	133	0	246	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmc1	13.100000	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	145	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0
Timp3	13.080000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snip1	13.080000	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	333	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhfpl5	13.080000	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	164	0
Dnali1	13.080000	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	333	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anp32b	13.080000	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	202	179	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh1	13.060000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	276	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scarf1	13.040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rilp	13.040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss12	13.040000	0	0	0	0	0	0	0	0	190	232	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nufip2	13.040000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	147	0
Gmeb2	13.020000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	94	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	124	0
Abcd3	13.020000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0
Slc3a2	12.980000	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0
Bicral	12.960000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0
Abca13	12.960000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	130	0	0	0	0	0	0	0	0	0	158	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gclm	12.940000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	163	0
Coq9	12.920000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0
Ankrd52	12.920000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	381	0	0	0
Srp54c	12.900000	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srp54b	12.900000	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mterf1b	12.900000	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	124	109	155	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dipk1a	12.900000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	76	0
Msi1	12.880000	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	226	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0
Slc12a9	12.840000	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0
Sap30	12.840000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0
Ppp6r1	12.840000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	219	0	0	0
Arfgap3	12.840000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	123	0
Abl2	12.820000	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2a	12.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Tfpt	12.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	266	0
Prpf31	12.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	266	0
Nxpe3	12.780000	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	178	203	0
Fbxl5	12.780000	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	79	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Cflar	12.780000	0	0	0	0	0	0	0	0	223	168	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr88	12.760000	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	238	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spag4	12.760000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	368	0
Hoxd9	12.760000	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0
Ripk4	12.740000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	288	0	0	0	0	0	0
Gipc1	12.740000	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	125	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0
Tbc1d9b	12.720000	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc30a9	12.720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0
Sema6b	12.720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	144	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	174	0	0	0
Pafah1b3	12.720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	232	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0
Egln1	12.700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	95	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	157	0
Wnt10a	12.660000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	196	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkiras2	12.660000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	179	0
Dnajc7	12.660000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	179	0
Amotl1	12.660000	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0
Vmn1r78	12.640000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	278	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr71	12.640000	0	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uhrf2	12.620000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0
Nkx1-1	12.620000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0
Gpr4	12.620000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	271	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stam2	12.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	136	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0
Gltp	12.600000	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	235	0
Tmem120a	12.580000	0	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spock1	12.580000	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k6	12.580000	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0
Cyb5r4	12.580000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	127	0	147	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capn3	12.580000	0	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tox2	12.560000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0
Mob4	12.560000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	221	0
Prmt6	12.520000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	108	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orai1	12.520000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	170	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnih3	12.520000	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	144	0	116	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr81	12.500000	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	206	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Il1f9	12.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	172	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpy19l4	12.500000	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	203	0
Rheb	12.480000	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	134	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0
Usp36	12.460000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	211	0
Scel	12.460000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtcl1	12.460000	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	292	0
Dhcr7	12.460000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	103	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0
Bin2	12.460000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	141	104	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata1	12.440000	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	137	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0
Ryk	12.440000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gng5	12.440000	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	137	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0
Acot11	12.440000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0
Tbck	12.420000	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	315	0
Creb3l3	12.420000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	266	0	0	0
Aimp1	12.420000	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	315	0
Tasor	12.400000	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	93	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	183	0
Scx	12.380000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0
Rb1	12.380000	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	89	67	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	129	0
Enpp4	12.380000	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	85	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	203	0
Shroom4	12.360000	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0
Agfg2	12.360000	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0
Srsf12	12.340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
Lmod1	12.340000	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgm2	12.320000	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	271	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcolce	12.320000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	128	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0
Mical1	12.300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	130	0
