Target_genes	Nfe2l2|Average	SRX1606411|C2C12	SRX1606412|C2C12	SRX21026467|Cerebral_Cortex	SRX21026468|Cerebral_Cortex	SRX21026469|Cerebral_Cortex	SRX21026470|Cerebral_Cortex	SRX21026476|Cerebral_Cortex	SRX21026477|Cerebral_Cortex	SRX21026478|Cerebral_Cortex	SRX21026479|Cerebral_Cortex	SRX188820|CH12	SRX5006896|Esophagus	SRX5006897|Esophagus	SRX5006898|Esophagus	SRX3630637|Liver	SRX3630638|Liver	DRX036572|Macrophages	DRX036573|Macrophages	DRX036574|Macrophages	DRX036575|Macrophages	DRX036576|Macrophages	DRX036577|Macrophages	SRX1438291|Macrophages	SRX1438293|Macrophages	SRX1438295|Macrophages	SRX1438297|Macrophages	SRX1438299|Macrophages	SRX1438301|Macrophages	SRX13081923|MEF	SRX13081924|MEF	SRX13081925|MEF	SRX13081926|MEF	SRX2191407|MEF	SRX2191408|MEF	SRX188811|MEL	SRX18863834|RAW_264.7	STRING
Isx	22.750000	0	0	0	117	0	153	0	350	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Them7	22.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcsk	22.722222	0	0	0	0	0	0	0	0	0	122	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capza2	22.722222	0	0	0	0	0	0	0	649	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	22.722222	0	0	0	0	0	125	0	349	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim45	22.694444	0	0	0	0	0	0	0	151	0	0	528	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasl11b	22.694444	0	0	0	141	0	0	0	320	0	253	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nf2	22.694444	0	0	0	0	0	95	0	236	0	112	264	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adprh	22.694444	0	0	0	0	0	0	0	234	101	249	0	0	0	0	129	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mboat1	22.666667	0	0	0	206	0	141	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad3	22.666667	0	0	0	0	0	0	0	271	0	176	0	0	0	0	254	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hif1a	22.666667	0	0	0	0	0	164	0	118	0	116	0	0	0	0	129	125	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4b	22.666667	0	0	0	0	0	62	0	249	0	114	136	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
Dlk1	22.666667	0	0	0	161	0	222	0	310	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr61	22.638889	0	0	0	0	0	0	0	0	0	0	350	0	0	84	234	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3glb1	22.638889	0	0	0	0	0	0	0	201	0	184	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0
Ptma	22.638889	0	0	0	0	0	105	0	176	0	178	199	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nob1	22.638889	0	0	0	87	0	0	0	266	0	222	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0
Lmo4	22.638889	0	0	0	0	0	120	0	361	0	250	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leo1	22.638889	0	0	0	96	0	0	0	193	0	216	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0
Fam161b	22.638889	0	0	0	0	0	0	0	251	0	202	218	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq6	22.638889	0	0	0	0	0	0	0	251	0	202	218	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610044O15Rik8	22.638889	0	0	0	0	0	0	0	245	0	285	181	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp202	22.611111	0	0	0	0	0	109	0	177	0	166	244	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pofut1	22.611111	0	0	0	0	0	0	0	270	0	239	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
Plagl2	22.611111	0	0	0	0	0	0	0	270	0	239	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
Nsmce1	22.611111	0	0	0	0	0	0	0	342	0	226	98	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mkrn2	22.611111	0	0	0	0	0	0	0	89	0	165	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0
Kpna6	22.611111	0	0	0	0	0	0	0	386	0	94	0	0	0	0	208	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b7	22.611111	0	0	0	161	0	80	0	284	0	152	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2ax	22.611111	0	0	0	0	0	0	0	171	0	0	154	0	0	0	192	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0
Dnajc13	22.611111	0	0	0	0	0	77	0	277	0	122	0	0	0	0	162	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpn2	22.583333	0	0	0	0	0	0	0	204	0	125	108	0	0	0	216	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mroh8	22.583333	0	0	0	0	0	0	0	204	0	125	108	0	0	0	216	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd14b	22.583333	0	0	0	0	0	107	0	211	0	144	175	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnpat	22.583333	0	0	0	0	0	0	0	201	0	174	206	0	0	0	134	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6712	22.583333	0	0	0	168	0	0	0	240	0	111	147	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg12	22.583333	0	0	0	88	0	83	0	124	0	115	140	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
Ap3s1	22.583333	0	0	0	88	0	83	0	124	0	115	140	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
2810004N23Rik	22.583333	0	0	0	0	0	0	0	201	0	174	206	0	0	0	134	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipa2	22.555556	0	0	0	0	0	0	0	107	0	133	141	0	0	0	325	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14444	22.555556	0	0	0	149	0	474	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1ccb	22.527778	0	0	0	127	0	126	0	266	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0
Ppp1cc	22.527778	0	0	0	127	0	126	0	266	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0
Nedd4	22.527778	0	0	0	0	0	77	0	297	0	310	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huwe1	22.527778	0	0	0	0	0	88	0	370	0	140	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330018D20Rik	22.527778	0	0	0	0	0	0	0	211	0	305	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0
Bptf	22.527778	0	0	0	0	0	0	0	406	0	318	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmod1	22.500000	0	0	0	0	0	112	0	158	0	442	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a33	22.500000	0	0	0	0	0	129	0	294	0	256	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacm1l	22.500000	0	0	0	0	0	0	0	155	0	164	187	0	0	0	200	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufc1	22.500000	0	0	0	77	0	80	0	298	0	206	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmaa	22.500000	0	0	0	0	0	143	0	193	0	260	92	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk13	22.500000	0	0	0	107	0	0	0	209	0	130	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acer3	22.500000	0	0	0	146	0	128	0	218	0	129	0	0	0	0	112	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herc2	22.472222	0	0	0	0	0	122	0	319	0	218	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc14	22.472222	0	0	0	129	0	98	0	404	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca1	22.472222	0	0	0	0	0	128	0	242	0	316	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk35	22.444444	0	0	0	0	0	0	0	231	0	133	108	0	0	0	216	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenof	22.444444	0	0	0	116	0	0	0	183	0	175	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sat1	22.444444	0	0	0	94	0	159	0	243	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0
Mrps21	22.444444	0	0	0	0	0	99	0	147	0	192	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
Iqcn	22.444444	0	0	0	0	0	159	0	296	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hs2st1	22.444444	0	0	0	116	0	0	0	183	0	175	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gucy1b2	22.444444	0	0	0	0	0	157	0	315	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasl11a	22.416667	0	0	0	0	0	168	0	355	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx5	22.416667	0	0	0	145	0	187	0	184	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyb5r4	22.416667	0	0	0	0	0	0	0	180	0	165	0	0	0	0	298	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl2fm1	22.416667	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0
Nek7	22.388889	0	0	0	150	0	119	0	240	0	106	103	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtx4	22.388889	0	0	0	0	0	100	0	330	0	268	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox6a1	22.388889	0	0	0	167	0	0	0	262	0	134	87	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fech	22.361111	0	0	0	0	0	68	0	338	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0
Ephb2	22.361111	0	0	0	0	0	134	0	203	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn3	22.361111	0	0	0	0	0	144	0	0	0	220	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
Pole4	22.333333	0	0	0	0	0	0	0	243	0	202	0	0	0	0	250	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc61	22.333333	0	0	0	0	0	0	0	210	0	217	171	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx10	22.333333	0	0	0	0	0	0	0	97	0	176	208	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubald1	22.305556	0	0	0	97	0	0	0	173	0	168	296	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmpca	22.305556	0	0	0	0	0	0	0	244	0	255	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0
Mid1	22.305556	0	0	0	311	0	222	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Katnbl1	22.305556	0	0	0	0	0	0	0	358	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
Entr1	22.305556	0	0	0	0	0	0	0	244	0	255	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0
Dusp8	22.305556	0	0	0	67	0	0	0	134	0	106	197	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dclre1c	22.305556	0	0	0	0	0	263	0	0	0	324	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1galt1	22.305556	0	0	0	0	0	0	0	371	0	195	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp422	22.277778	0	0	0	103	0	134	0	220	0	163	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab7	22.277778	0	0	0	0	0	0	0	275	0	139	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0
Nkrf	22.277778	0	0	0	0	0	0	0	158	0	122	308	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp10d	22.277778	0	0	0	0	0	227	0	249	0	206	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a1	22.250000	0	0	0	0	0	0	0	141	0	296	146	0	0	0	130	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aarsd1	22.250000	0	0	0	0	0	142	0	107	0	106	163	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r27	22.222222	0	0	0	0	0	173	0	142	0	305	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5l	22.222222	0	0	0	0	0	91	0	127	0	71	274	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0
Arid3a	22.222222	0	0	0	0	0	0	0	195	0	197	88	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0
Psat1	22.194444	0	0	0	249	0	0	0	316	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdia3	22.194444	0	0	0	0	0	119	0	220	0	148	0	0	0	0	215	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilf2	22.194444	0	0	0	0	0	0	0	286	0	256	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0
Catsper2	22.194444	0	0	0	0	0	119	0	220	0	148	0	0	0	0	215	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik	22.194444	0	0	0	181	0	100	0	346	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stab1	22.166667	0	0	0	77	0	0	0	249	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf7	22.166667	0	0	0	0	0	0	0	218	0	121	138	0	0	0	149	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
Gask1a	22.166667	0	0	0	0	0	0	0	464	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actr6	22.166667	0	0	0	0	0	0	0	169	0	120	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
Zswim8	22.138889	0	0	0	0	0	92	0	202	0	195	96	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smtn	22.138889	0	0	0	0	0	0	0	115	0	143	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0
Dop1b	22.138889	0	0	0	0	0	0	0	166	0	203	245	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps37a	22.111111	0	0	0	0	0	0	0	160	0	209	0	0	0	0	250	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx14	22.111111	0	0	0	0	0	0	0	323	0	209	0	0	0	0	134	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poc1a	22.111111	0	0	0	0	0	0	0	123	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
Bcl7b	22.111111	0	0	0	0	0	83	0	161	0	114	0	0	0	0	293	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a22	22.083333	0	0	0	0	0	0	0	119	0	0	0	0	0	0	478	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf38	22.083333	0	0	0	308	0	0	0	358	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdia5	22.083333	0	0	0	158	0	107	0	217	0	185	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itsn1	22.083333	0	0	0	0	0	0	0	100	0	0	594	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddi1	22.083333	0	0	0	0	0	153	0	0	147	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryzl1	22.083333	0	0	0	0	0	0	0	100	0	0	594	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armc5	22.083333	0	0	0	0	0	0	0	100	0	113	356	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9130023H24Rik	22.083333	0	0	0	0	0	0	0	100	0	113	356	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssr4	22.055556	0	0	0	0	0	0	0	117	0	0	120	0	0	0	403	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim38	22.055556	0	0	0	95	0	77	0	365	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad1	22.055556	0	0	0	0	0	96	0	401	90	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plxnb2	22.055556	0	0	0	132	0	147	0	434	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqank1	22.055556	0	0	0	161	0	130	0	327	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5k	22.055556	0	0	0	0	0	76	0	229	0	196	89	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idh3g	22.055556	0	0	0	0	0	0	0	117	0	0	120	0	0	0	403	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idh2	22.055556	0	0	0	101	0	121	0	295	0	178	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam83h	22.055556	0	0	0	161	0	130	0	327	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rassf5	22.027778	0	0	0	0	0	0	0	180	0	153	0	0	0	0	320	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfkm	22.027778	0	0	0	139	0	0	0	174	0	88	289	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup43	22.027778	0	0	0	0	0	0	0	251	0	224	211	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagk	22.027778	0	0	0	0	0	0	0	178	0	68	119	0	0	0	216	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4984	22.027778	0	0	0	0	0	176	0	261	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aacs	22.027778	0	0	0	0	0	131	0	191	0	205	171	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kti12	22.000000	0	0	0	0	0	0	0	200	0	131	178	0	0	0	165	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpnmb	22.000000	0	0	0	0	0	0	0	349	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dock5	22.000000	0	0	0	0	0	0	0	253	0	265	0	0	0	0	176	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adi1	22.000000	0	0	0	161	0	122	0	195	0	170	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pard3b	21.972222	0	0	0	170	0	82	0	346	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtx2	21.972222	0	0	0	0	0	0	0	237	0	267	0	0	0	0	184	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancl3	21.972222	0	0	0	107	0	332	0	191	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igfbp2	21.972222	0	0	0	266	0	135	0	300	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gjb5	21.972222	0	0	0	291	0	348	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxi2	21.972222	0	0	0	0	0	0	0	400	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erg	21.972222	0	0	0	107	0	194	0	286	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb43	21.972222	0	0	0	0	0	135	0	329	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfip1	21.972222	0	0	0	0	0	0	0	153	0	168	216	0	0	0	88	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps37d	21.944444	0	0	0	117	0	110	0	249	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skap2	21.944444	0	0	0	0	0	0	0	212	0	147	191	0	0	0	124	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgst2	21.944444	0	0	0	0	0	224	0	167	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marveld3	21.944444	0	0	0	115	0	189	0	283	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hal	21.944444	0	0	0	0	0	164	0	0	118	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgfrl1	21.944444	0	0	0	108	0	103	0	301	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcf11	21.916667	0	0	0	197	0	104	0	149	0	183	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mogs	21.916667	0	0	0	117	0	0	0	307	0	206	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map10	21.916667	0	0	0	243	0	0	0	437	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf6	21.916667	0	0	0	117	0	176	0	220	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derl1	21.916667	0	0	0	0	0	0	0	212	0	107	189	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
