Target_genes	Gfi1|Average	SRX093162|Bone_Marrow_Cells	SRX6799360|Embryoid_Bodies	SRX16700226|Granulocytic-monocytic_progenitors	SRX7821117|Hematopoietic_progenitors	SRX349376|ILC2	SRX1939441|Lymphoid-primed_multipotent_progenitors	SRX1072347|Macrophages	SRX7415996|Macrophages	SRX206425|Mast_Cells	SRX5131513|Medulloblastoma	SRX5131514|Medulloblastoma	SRX1035395|mESC_derived_haematopoietic_progenitor	SRX1096803|Naive_T_cells	SRX1096804|Naive_T_cells	SRX1973345|Neurospheres	SRX1973346|Neurospheres	STRING
Tmem250-ps	70.500000	290	0	0	0	0	0	0	0	0	508	104	0	0	0	0	226	0
Sun1	70.500000	325	0	0	0	0	0	0	0	0	389	121	0	0	0	0	293	0
Skil	70.500000	314	125	0	100	0	100	0	0	0	266	84	0	0	0	0	139	0
Selenoi	70.500000	337	0	0	0	0	0	0	0	0	371	199	0	0	0	0	221	0
Rev3l	70.500000	514	0	0	0	0	0	0	0	0	406	0	0	0	0	0	208	0
Mmp28	70.500000	434	0	0	118	0	118	0	0	0	97	0	0	0	0	0	361	0
Gfpt1	70.500000	443	0	0	0	0	0	0	0	0	316	216	0	0	0	0	153	0
Esyt1	70.500000	230	0	0	0	0	0	0	0	0	476	117	0	114	0	0	191	0
Actr10	70.500000	449	0	0	0	0	0	0	0	0	384	143	0	0	0	0	152	0
Tph2	70.437500	963	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp707	70.375000	297	0	0	0	0	0	0	0	0	372	142	0	0	0	0	315	0
Tubgcp6	70.375000	391	0	0	0	0	0	0	0	0	406	144	0	0	0	0	185	0
Pex10	70.375000	515	0	0	0	0	0	0	0	0	302	125	0	0	0	0	184	0
Ncstn	70.375000	341	0	0	0	0	0	0	0	0	382	84	0	0	0	0	319	0
Mettl3	70.375000	218	0	0	0	0	0	0	0	0	637	139	0	0	0	0	132	0
Khsrp	70.375000	454	0	0	0	0	0	0	0	0	300	183	0	0	0	0	189	0
Copa	70.375000	341	0	0	0	0	0	0	0	0	382	84	0	0	0	0	319	0
Ckmt1	70.375000	510	0	268	0	0	0	0	0	0	221	0	0	0	0	0	127	0
Slc35g3	70.312500	306	0	0	91	0	91	0	0	0	276	121	0	0	0	0	240	0
Msmo1	70.312500	278	0	0	0	0	0	0	0	0	470	124	0	0	0	0	253	0
H6pd	70.312500	597	0	0	0	0	0	0	0	0	271	108	0	0	0	0	149	0
Ext2	70.312500	849	0	0	0	0	0	0	0	0	163	0	0	0	0	0	113	0
Dnajc5g	70.312500	367	0	0	378	0	380	0	0	0	0	0	0	0	0	0	0	0
Ank2	70.312500	77	0	0	190	0	190	0	0	0	352	0	0	0	0	0	316	0
Ubald1	70.250000	635	0	0	0	0	0	0	0	0	308	0	0	0	0	0	181	0
Slc15a4	70.250000	376	0	0	121	0	122	0	0	0	291	105	0	0	0	0	109	0
Ldha	70.250000	496	0	0	0	0	0	0	0	92	221	91	0	89	0	0	135	0
2310022B05Rik	70.250000	209	0	0	313	0	315	0	0	0	287	0	0	0	0	0	0	0
Ubox5	70.187500	242	0	0	0	0	0	0	0	0	509	153	0	0	0	0	219	0
Txndc9	70.187500	527	0	0	0	0	0	0	0	0	252	146	0	0	0	0	198	0
Tma16	70.187500	260	0	0	0	0	0	0	0	0	376	167	0	0	0	0	320	0
Sdccag8	70.187500	225	0	0	0	0	0	0	0	0	429	216	0	0	0	0	253	0
Pot1b	70.187500	207	0	0	0	89	0	0	0	0	269	269	0	0	0	0	289	0
Hdac1	70.187500	296	0	0	0	0	0	0	0	0	438	81	0	100	0	0	208	0
Fastkd5	70.187500	242	0	0	0	0	0	0	0	0	509	153	0	0	0	0	219	0
Eif5b	70.187500	527	0	0	0	0	0	0	0	0	252	146	0	0	0	0	198	0
Dynlrb2	70.187500	247	0	0	170	0	170	0	0	0	194	119	0	0	0	0	223	0
Cep170	70.187500	225	0	0	0	0	0	0	0	0	429	216	0	0	0	0	253	0
Relch	70.125000	185	0	0	0	0	0	0	0	192	378	150	0	0	0	0	217	0
Pign	70.125000	185	0	0	0	0	0	0	0	192	378	150	0	0	0	0	217	0
Eif3j2	70.125000	404	0	0	0	0	0	0	0	0	446	0	0	0	0	0	272	0
Eif3j1	70.125000	404	0	0	0	0	0	0	0	0	446	0	0	0	0	0	272	0
B230307C23Rik	70.125000	574	0	0	0	0	0	0	0	0	168	122	0	0	0	0	258	0
Xpo5	70.062500	382	0	0	0	0	0	0	0	0	328	139	0	0	0	0	272	0
Ube2o	70.062500	270	0	160	0	0	0	0	0	0	412	72	0	0	0	0	207	0
Purb	70.062500	495	0	0	0	0	0	0	0	0	391	104	0	0	0	0	131	0
Polh	70.062500	382	0	0	0	0	0	0	0	0	328	139	0	0	0	0	272	0
Lonp2	70.062500	381	0	0	0	0	0	0	0	0	394	100	0	0	0	0	246	0
B4galnt4	70.062500	249	0	0	238	0	238	0	0	0	197	0	0	0	0	0	199	0
Tcam1	70.000000	439	0	0	222	0	219	0	0	0	169	0	0	0	0	0	71	0
Sptssa	70.000000	361	0	0	0	0	0	0	0	0	432	109	0	0	0	0	218	0
Smarcd2	70.000000	439	0	0	222	0	219	0	0	0	169	0	0	0	0	0	71	0
Rwdd2b	70.000000	213	0	0	0	0	0	0	0	0	427	168	0	157	0	0	155	0
Rbbp5	70.000000	252	0	0	0	0	0	0	0	0	506	201	0	0	0	0	161	0
Nop16	70.000000	212	0	0	183	0	181	0	0	0	211	167	0	0	0	0	166	0
Klhl21	70.000000	454	0	0	0	0	0	0	0	0	379	78	0	89	0	0	120	0
Higd2a	70.000000	212	0	0	183	0	181	0	0	0	211	167	0	0	0	0	166	0
Frs2	70.000000	481	0	0	0	128	0	0	0	83	428	0	0	0	0	0	0	0
Ddx24	70.000000	186	0	0	0	0	0	0	0	0	411	126	0	0	0	0	397	0
Tedc2	69.937500	396	0	0	0	0	0	0	0	0	416	128	0	0	0	0	179	0
Rnf4	69.937500	362	0	0	0	0	0	0	0	0	389	123	0	0	0	0	245	0
Cidea	69.937500	636	0	0	0	90	0	0	0	0	197	79	0	0	0	0	117	0
Cfap410	69.937500	232	0	0	0	0	0	0	0	0	295	146	0	112	0	0	334	0
Plekhm1	69.875000	395	0	0	0	0	0	0	0	0	361	126	0	0	0	0	236	0
Mlf1	69.875000	528	0	0	0	0	0	0	0	0	256	86	0	0	0	0	248	0
Mettl15	69.875000	421	0	0	0	0	0	0	0	0	280	167	0	0	0	0	250	0
Lrrfip2	69.875000	579	0	0	0	0	0	0	0	0	238	144	0	0	0	0	157	0
Kif18a	69.875000	421	0	0	0	0	0	0	0	0	280	167	0	0	0	0	250	0
Hs1bp3	69.875000	745	0	0	0	0	0	0	0	0	211	0	0	0	0	0	162	0
Eml6	69.875000	386	0	0	0	0	0	0	0	0	237	231	0	0	0	0	264	0
Sgtb	69.812500	427	0	0	0	0	0	0	0	0	269	179	0	0	0	0	242	0
Nln	69.812500	427	0	0	0	0	0	0	0	0	269	179	0	0	0	0	242	0
Neu3	69.812500	613	0	0	0	0	0	0	0	0	108	122	0	0	0	0	274	0
Mccc2	69.812500	341	0	0	0	0	0	0	0	0	331	131	0	0	0	0	314	0
Iqcf4	69.812500	367	0	200	276	0	274	0	0	0	0	0	0	0	0	0	0	0
Cpq	69.812500	615	0	0	117	0	117	0	0	0	0	0	0	0	0	0	268	0
Coro2a	69.812500	652	0	0	133	0	132	0	0	0	200	0	0	0	0	0	0	0
Appl1	69.812500	296	0	0	0	0	0	0	0	0	399	99	0	0	0	0	323	0
Mylip	69.750000	422	0	0	0	0	0	0	0	0	285	163	0	0	0	0	246	0
Ikbip	69.750000	442	0	0	0	0	0	0	0	0	357	123	0	0	0	0	194	0
Gxylt1	69.750000	492	0	0	0	0	0	0	0	0	339	107	0	0	0	0	178	0
Chmp2b	69.750000	365	0	0	0	0	0	0	0	0	460	116	0	0	0	0	175	0
Cd300ld5	69.750000	0	0	0	548	0	568	0	0	0	0	0	0	0	0	0	0	0
Cd300ld4	69.750000	0	0	0	548	0	568	0	0	0	0	0	0	0	0	0	0	0
Apaf1	69.750000	442	0	0	0	0	0	0	0	0	357	123	0	0	0	0	194	0
Trpc4ap	69.687500	423	0	0	0	0	0	0	0	0	467	0	0	0	0	0	225	0
Slc39a14	69.687500	432	0	0	0	0	0	0	0	0	279	98	0	0	0	0	306	0
Naa15	69.687500	388	0	0	0	0	0	0	0	0	359	183	0	0	0	0	185	0
Dync1h1	69.687500	258	0	0	0	0	0	0	0	0	442	97	0	0	0	0	318	0
Aak1	69.687500	283	0	0	0	202	0	0	0	0	277	234	0	0	0	0	119	0
Utp18	69.625000	358	0	0	0	0	0	0	0	0	419	0	0	0	0	0	337	0
Slc35d1	69.625000	283	0	0	0	0	0	0	0	0	491	107	0	0	0	0	233	0
Mbtd1	69.625000	358	0	0	0	0	0	0	0	0	419	0	0	0	0	0	337	0
Herc3	69.562500	338	0	0	0	0	0	0	0	0	456	120	0	0	0	0	199	0
Dpf3	69.562500	428	0	0	176	0	176	0	0	0	226	0	0	0	0	0	107	0
Adarb1	69.562500	568	0	0	0	0	0	0	0	0	238	195	0	0	0	0	112	0
Sec61g	69.500000	343	0	0	0	0	0	0	0	0	235	174	0	0	0	61	299	0
Pygb	69.500000	272	0	0	0	0	0	0	0	0	312	174	0	118	0	0	236	0
Pla2g15	69.500000	507	0	0	0	0	0	0	0	0	192	153	0	0	0	0	260	0
Ly9	69.500000	389	0	0	97	124	96	0	0	406	0	0	0	0	0	0	0	0
Kras	69.500000	570	0	0	0	0	0	0	0	0	260	95	0	0	0	0	187	0
Gid8	69.500000	255	0	0	0	0	0	0	0	0	382	154	0	0	0	0	321	0
Atp7a	69.500000	561	0	0	0	0	0	98	0	0	146	79	0	0	0	0	228	0
Acsl1	69.500000	370	0	0	0	0	0	0	0	0	435	138	0	0	0	0	169	0
Zyx	69.437500	221	0	0	189	0	190	0	0	0	212	114	0	0	0	0	185	0
Zfp558	69.437500	664	0	0	0	0	0	0	0	0	258	0	0	0	0	0	189	0
Tmem161b	69.437500	337	0	0	0	0	0	0	0	0	486	170	0	0	0	0	118	0
Ranbp3	69.437500	262	0	0	0	0	0	0	0	0	384	170	0	0	0	0	295	0
Oat	69.437500	298	0	0	0	0	0	0	0	0	398	122	0	0	0	0	293	0
Nxt1	69.437500	268	0	0	0	0	0	0	0	0	450	114	0	0	0	0	279	0
Nme7	69.437500	295	0	343	0	0	0	0	0	0	245	150	0	0	0	0	78	0
Mbd3l1	69.437500	664	0	0	0	0	0	0	0	0	258	0	0	0	0	0	189	0
Kdm7a	69.437500	229	0	178	0	0	0	0	0	0	389	118	0	0	0	0	197	0
Cyfip2	69.437500	311	0	0	178	0	175	0	0	0	237	0	0	0	0	0	210	0
Blzf1	69.437500	295	0	343	0	0	0	0	0	0	245	150	0	0	0	0	78	0
Usp34	69.375000	453	0	0	0	0	0	0	0	0	371	107	0	0	0	0	179	0
Ube4a	69.375000	527	0	0	0	0	0	0	0	0	203	228	0	0	0	0	152	0
Phf12	69.375000	279	0	0	185	0	185	0	0	0	259	0	0	0	0	0	202	0
Mrps25	69.375000	346	0	0	0	0	0	0	0	0	130	124	0	181	0	0	329	0
Mrpl19	69.375000	182	0	0	0	0	0	0	0	0	438	153	0	101	0	0	236	0
Mllt1	69.375000	538	0	0	0	0	0	0	0	0	437	0	0	0	0	0	135	0
Fam160b1	69.375000	486	0	60	0	0	0	0	0	0	297	0	0	0	0	0	267	0
Dmac1	69.375000	404	0	0	0	0	0	0	0	0	387	101	0	0	0	0	218	0
Atp5k	69.375000	461	0	0	0	0	0	0	0	0	278	118	0	0	0	0	253	0
Vps26b	69.312500	384	0	0	0	0	0	0	0	0	345	140	0	0	0	0	240	0
Ube2m	69.312500	295	0	0	0	0	0	0	0	0	394	130	0	0	0	0	290	0
Troap	69.312500	221	0	282	0	0	0	0	0	0	204	180	0	0	0	0	222	0
Trib1	69.312500	462	0	0	92	0	91	0	0	0	207	114	0	0	0	0	143	0
Tmem87a	69.312500	158	0	0	0	0	0	0	0	0	399	167	0	0	0	0	385	0
Tars2	69.312500	406	0	101	0	0	0	0	0	0	279	171	0	0	0	0	152	0
Smurf1	69.312500	290	0	0	160	0	164	0	0	0	343	152	0	0	0	0	0	0
Smad2	69.312500	269	0	0	0	0	0	0	0	0	679	0	0	0	0	0	161	0
Rell1	69.312500	299	0	0	0	0	0	0	0	0	462	0	0	87	0	0	261	0
Rdh5	69.312500	292	0	0	0	0	0	0	0	0	442	140	0	0	0	0	235	0
Ncapd3	69.312500	384	0	0	0	0	0	0	0	0	345	140	0	0	0	0	240	0
Naa30	69.312500	250	0	92	0	0	0	0	0	0	427	120	0	0	0	0	220	0
Mecr	69.312500	459	0	0	0	0	0	0	0	0	400	0	0	0	0	0	250	0
Ganc	69.312500	158	0	0	0	0	0	0	0	0	399	167	0	0	0	0	385	0
Ei24	69.312500	275	0	0	0	0	0	0	0	0	502	78	0	0	0	0	254	0
Chmp2a	69.312500	295	0	0	0	0	0	0	0	0	394	130	0	0	0	0	290	0
Cgref1	69.312500	366	0	0	160	0	158	0	0	0	152	0	0	0	0	0	273	0
Bloc1s1	69.312500	292	0	0	0	0	0	0	0	0	442	140	0	0	0	0	235	0
Aspscr1	69.312500	339	0	0	0	0	0	0	0	0	391	100	0	140	0	0	139	0
Usp30	69.250000	557	0	0	77	0	77	0	0	127	173	97	0	0	0	0	0	0
Steap1	69.250000	436	0	0	0	0	0	0	0	0	282	94	0	0	0	0	296	0
Fech	69.250000	384	0	0	0	0	0	0	0	0	417	64	0	116	0	0	127	0
Dnaaf2	69.250000	351	0	0	0	0	0	0	0	0	397	106	0	0	0	0	254	0
Snapc4	69.187500	225	0	113	0	0	0	0	0	0	294	123	0	0	0	0	352	0
Siah2	69.187500	403	0	0	0	0	0	0	0	0	384	0	0	78	0	0	242	0
Nup155	69.187500	461	0	0	0	0	0	0	0	0	296	92	0	0	0	0	258	0
Ilf2	69.187500	154	0	0	0	0	0	0	0	0	521	185	0	0	0	0	247	0
Ifrd1	69.187500	387	0	0	0	0	0	0	0	0	331	170	0	0	0	0	219	0
Gm9949	69.187500	399	0	0	169	0	169	0	0	0	188	0	0	0	0	0	182	0
Cystm1	69.187500	371	0	0	0	0	0	0	0	0	441	0	0	0	0	0	295	0
Adrb2	69.187500	399	0	0	169	0	169	0	0	0	188	0	0	0	0	0	182	0
Zmat5	69.125000	436	0	0	0	0	0	0	0	0	341	208	0	0	0	0	121	0
Wdr91	69.125000	274	0	0	0	0	0	0	0	0	469	0	0	0	0	0	363	0
Uqcr10	69.125000	436	0	0	0	0	0	0	0	0	341	208	0	0	0	0	121	0
Tmx2	69.125000	337	0	0	0	0	0	0	0	0	258	327	0	0	0	0	184	0
Med19	69.125000	337	0	0	0	0	0	0	0	0	258	327	0	0	0	0	184	0
Fut11	69.125000	407	0	0	0	0	0	0	0	0	319	0	0	93	0	0	287	0
D2hgdh	69.125000	510	0	0	0	0	0	0	0	0	216	317	0	0	0	0	63	0
Cyren	69.125000	312	0	0	0	0	0	0	0	0	345	147	0	100	0	0	202	0
Ankrd42	69.125000	436	0	0	0	0	0	0	0	0	387	0	0	0	0	0	283	0
Tmem102	69.062500	644	0	0	0	0	0	0	0	0	177	0	0	85	0	0	199	0
Nucks1	69.062500	241	0	0	0	0	0	0	0	0	575	151	0	0	0	0	138	0
Fgf11	69.062500	644	0	0	0	0	0	0	0	0	177	0	0	85	0	0	199	0
Ttc41	69.000000	395	0	0	0	0	0	0	0	0	204	229	0	0	0	0	276	0
Sema4d	69.000000	221	0	0	129	0	128	0	0	233	210	0	0	0	0	0	183	0
Ppp2r5a	69.000000	348	0	0	0	0	0	0	0	0	327	145	0	0	0	0	284	0
Pigf	69.000000	196	0	0	0	0	0	0	0	0	475	165	0	0	0	0	268	0
Hsp90b1	69.000000	395	0	0	0	0	0	0	0	0	204	229	0	0	0	0	276	0
Cript	69.000000	196	0	0	0	0	0	0	0	0	475	165	0	0	0	0	268	0
Trmt6	68.937500	269	0	0	0	0	0	0	0	0	349	142	0	0	0	0	343	0
Tmem161a	68.937500	383	0	0	119	0	117	0	0	0	298	186	0	0	0	0	0	0
Nfrkb	68.937500	568	0	0	0	0	0	0	0	0	319	95	0	0	0	0	121	0
Micos10	68.937500	214	0	0	0	0	0	0	0	0	451	181	0	0	0	0	257	0
Mcm8	68.937500	269	0	0	0	0	0	0	0	0	349	142	0	0	0	0	343	0
Hmgcl	68.937500	732	0	0	0	0	0	0	0	0	172	0	0	0	0	0	199	0
Glipr1	68.937500	346	0	0	307	143	307	0	0	0	0	0	0	0	0	0	0	0
AW146154	68.937500	315	0	0	94	0	119	0	0	0	215	161	0	0	0	0	199	0
Zfp189	68.875000	211	0	0	201	0	201	0	0	0	140	188	0	0	0	0	161	0
Wdyhv1	68.875000	196	0	0	0	0	0	0	0	0	422	122	0	0	0	0	362	0
Sympk	68.875000	179	0	0	226	0	226	0	0	0	255	0	0	0	0	0	216	0
Ssr2	68.875000	163	0	0	0	0	0	0	0	0	519	163	0	0	0	0	257	0
Sft2d2	68.875000	503	0	0	0	0	0	0	0	0	406	100	0	0	0	0	93	0
Rccd1	68.875000	511	0	0	0	0	0	0	0	0	282	152	0	0	0	0	157	0
P2ry13	68.875000	0	0	0	551	0	551	0	0	0	0	0	0	0	0	0	0	0
Mrpl50	68.875000	211	0	0	201	0	201	0	0	0	140	188	0	0	0	0	161	0
Lin7c	68.875000	188	0	0	0	0	0	0	0	0	561	165	0	0	0	0	188	0
Ifnar1	68.875000	292	0	0	0	0	0	0	0	0	379	157	0	0	0	0	274	0
Hsd17b7	68.875000	220	0	0	0	0	0	0	0	0	358	204	0	0	0	0	320	0
Foxa3	68.875000	179	0	0	226	0	226	0	0	0	255	0	0	0	0	0	216	0
AI413582	68.875000	858	0	0	0	0	0	0	0	0	155	0	0	0	0	0	89	0
Tradd	68.812500	345	0	0	254	0	254	0	0	0	137	0	0	0	0	0	111	0
Syvn1	68.812500	469	0	0	0	0	0	0	0	0	346	0	0	122	0	0	164	0
Strip1	68.812500	261	0	0	0	0	0	0	0	0	452	95	0	0	0	0	293	0
Pdik1l	68.812500	306	0	0	0	0	0	0	0	0	469	90	0	0	0	0	236	0
Fbxl8	68.812500	345	0	0	254	0	254	0	0	0	137	0	0	0	0	0	111	0
Asb1	68.812500	355	0	0	0	0	0	0	0	156	232	159	0	0	0	0	199	0
Zfp865	68.750000	307	0	0	0	0	0	0	0	0	377	185	0	0	0	0	231	0
Zfp622	68.750000	392	0	0	0	0	0	0	0	0	318	149	0	0	0	0	241	0
Zfp524	68.750000	307	0	0	0	0	0	0	0	0	377	185	0	0	0	0	231	0
Slc16a10	68.750000	526	0	0	0	0	0	0	0	0	315	0	0	0	0	0	259	0
Sdhaf3	68.750000	377	0	0	0	0	0	0	0	0	282	211	0	0	0	0	230	0
Eef1akmt4-ece2	68.750000	554	0	0	0	0	0	0	0	0	215	153	0	0	0	0	178	0
Eef1akmt4	68.750000	554	0	0	0	0	0	0	0	0	215	153	0	0	0	0	178	0
Clpx	68.750000	299	0	0	0	0	0	0	0	0	365	144	0	0	0	0	292	0
Ankfy1	68.750000	292	0	0	0	0	0	0	0	0	360	148	0	0	0	0	300	0
Alg3	68.750000	554	0	0	0	0	0	0	0	0	215	153	0	0	0	0	178	0
Sh3bgrl2	68.687500	172	0	0	0	0	0	0	0	0	470	125	0	0	0	0	332	0
Rfx2	68.687500	550	0	0	0	0	0	0	0	0	329	101	0	0	0	0	119	0
Nfkbil1	68.687500	644	0	0	0	0	0	0	0	0	265	113	0	0	0	0	77	0
Ltb	68.687500	729	0	0	0	0	0	0	0	0	79	0	0	83	0	0	208	0
Exosc5	68.687500	495	0	0	0	0	0	0	0	0	287	123	0	0	0	0	194	0
Bckdha	68.687500	495	0	0	0	0	0	0	0	0	287	123	0	0	0	0	194	0
Tsc1	68.625000	387	0	105	0	0	0	0	0	0	328	107	0	0	0	0	171	0
Mrpl54	68.625000	573	0	0	0	0	0	0	0	0	352	0	0	0	0	0	173	0
Mpdu1	68.625000	383	0	0	0	0	0	0	0	0	394	151	0	0	0	0	170	0
Hp1bp3	68.625000	238	0	0	0	0	0	0	0	0	394	119	0	144	0	0	203	0
Hipk2	68.625000	514	0	0	0	0	0	0	0	0	271	103	0	0	0	0	210	0
Entpd7	68.625000	268	0	0	0	0	0	0	0	0	359	87	0	0	0	0	384	0
Apba3	68.625000	573	0	0	0	0	0	0	0	0	352	0	0	0	0	0	173	0
Trim27	68.562500	372	0	0	0	0	0	0	0	0	418	136	0	0	0	0	171	0
Sc5d	68.562500	554	0	0	0	0	0	0	0	0	429	0	0	0	0	0	114	0
Man1a2	68.562500	503	0	0	0	0	0	0	0	0	369	0	0	0	0	0	225	0
Uhrf1bp1	68.500000	314	0	0	0	0	0	0	0	0	483	0	0	0	0	0	299	0
Traf3ip3	68.500000	672	0	0	212	0	212	0	0	0	0	0	0	0	0	0	0	0
Slc29a3	68.500000	379	0	0	0	0	0	0	0	0	315	0	0	135	0	0	267	0
Ryr1	68.500000	338	0	452	0	0	0	0	0	306	0	0	0	0	0	0	0	0
Pgp	68.500000	244	0	0	0	0	0	0	0	0	427	144	0	76	0	0	205	0
Fam161a	68.500000	241	0	0	0	0	0	0	0	0	324	91	0	85	0	0	355	0
Cenpv	68.500000	459	0	0	0	0	0	0	0	0	354	0	0	0	0	0	283	0
Ccdc150	68.500000	247	0	0	0	0	0	0	0	0	248	190	0	0	0	0	411	0
Rag2	68.437500	145	0	0	177	0	179	0	0	0	206	388	0	0	0	0	0	0
Pomk	68.437500	449	150	0	0	0	0	0	0	0	273	99	0	0	0	0	124	0
Iftap	68.437500	145	0	0	177	0	179	0	0	0	206	388	0	0	0	0	0	0
Ginm1	68.437500	262	0	0	0	0	0	0	0	0	497	162	0	0	0	0	174	0
Fzd2	68.437500	143	0	0	235	0	237	0	0	0	195	115	0	0	0	0	170	0
Flvcr1	68.437500	247	0	0	0	0	0	0	0	0	487	122	0	0	0	0	239	0
Prdm9	68.375000	211	0	0	0	0	0	0	0	0	302	224	0	0	0	0	357	0
Pfdn5	68.375000	698	0	0	0	0	0	0	0	0	175	0	0	0	0	0	221	0
Mrpl3	68.375000	256	0	0	0	0	0	0	0	0	361	135	0	0	0	0	342	0
Frat2	68.375000	422	0	0	0	0	0	0	0	0	389	113	0	0	0	0	170	0
Dynlt1a	68.375000	261	0	0	0	0	168	0	0	0	203	140	0	0	0	0	322	0
Ccdc84	68.375000	520	0	0	0	0	0	0	0	0	213	176	0	0	0	0	185	0
B4galt1	68.375000	281	0	0	0	0	0	0	0	0	435	105	0	119	0	0	154	0
Zmynd19	68.312500	352	0	0	0	0	0	0	0	0	454	0	0	0	0	0	287	0
Tgfb2	68.312500	154	0	0	180	0	179	0	0	0	324	0	0	0	0	0	256	0
Spry2	68.312500	499	0	0	120	0	120	0	0	0	140	0	0	0	0	0	214	0
Prtn3	68.312500	320	0	0	287	0	287	0	0	0	199	0	0	0	0	0	0	0
Poli	68.312500	338	0	0	0	0	0	0	0	0	410	82	0	0	0	0	263	0
Pdzd8	68.312500	354	0	145	0	0	0	0	0	0	346	66	0	0	0	0	182	0
Dock9	68.312500	225	0	0	0	0	0	0	0	0	542	183	0	0	0	0	143	0
Dgke	68.312500	461	0	0	0	0	0	0	0	0	273	130	0	0	0	0	229	0
Cep162	68.312500	238	0	0	0	0	0	0	0	0	346	220	0	0	0	0	289	0
Arfgef1	68.312500	429	0	0	0	0	0	0	0	0	399	105	0	0	0	0	160	0
Pdf	68.250000	286	0	0	0	0	0	0	0	0	431	102	0	0	0	0	273	0
Nadsyn1	68.250000	379	0	0	0	0	0	0	0	0	255	210	0	0	0	0	248	0
Jpt1	68.250000	347	0	0	0	0	0	0	0	0	327	129	0	0	0	0	289	0
Dhcr7	68.250000	379	0	0	0	0	0	0	0	0	255	210	0	0	0	0	248	0
Arl5a	68.250000	596	0	0	0	0	0	0	0	0	316	0	0	0	0	0	180	0
Usp35	68.187500	335	0	239	0	0	0	0	0	0	347	0	0	0	0	0	170	0
Tmem209	68.187500	263	0	0	0	0	0	0	0	0	438	191	0	0	0	0	199	0
Stim2	68.187500	527	0	0	0	108	0	0	0	0	216	0	0	0	0	0	240	0
Ssmem1	68.187500	263	0	0	0	0	0	0	0	0	438	191	0	0	0	0	199	0
Smap2	68.187500	286	0	0	0	0	0	0	0	0	310	85	0	114	0	0	296	0
Slc26a2	68.187500	352	0	0	0	0	0	0	0	0	310	110	0	0	0	0	319	0
Neurl3	68.187500	505	0	0	201	0	200	0	0	185	0	0	0	0	0	0	0	0
Kctd21	68.187500	335	0	239	0	0	0	0	0	0	347	0	0	0	0	0	170	0
Ccar2	68.187500	314	0	0	0	0	0	0	0	0	309	164	0	0	0	0	304	0
Zfp60	68.125000	210	0	0	0	0	0	0	0	0	514	152	0	0	0	0	214	0
Zfp444	68.125000	191	0	0	78	0	78	0	0	0	258	329	0	0	0	0	156	0
Ywhab	68.125000	215	0	0	0	0	0	0	0	0	475	113	0	0	0	0	287	0
Vars	68.125000	264	0	0	0	0	0	0	0	0	464	130	0	122	0	0	110	0
Slc66a2	68.125000	276	0	0	0	0	0	0	0	0	381	160	0	0	0	0	273	0
Itgal	68.125000	170	0	374	273	0	273	0	0	0	0	0	0	0	0	0	0	0
Etf1	68.125000	324	0	0	0	0	0	0	0	0	365	0	0	94	0	0	307	0
D17H6S56E-5	68.125000	264	0	0	0	0	0	0	0	0	464	130	0	122	0	0	110	0
Clspn	68.125000	261	0	0	0	0	0	0	0	0	394	142	0	0	0	0	293	0
Carnmt1	68.125000	454	0	0	128	0	131	0	0	0	170	0	0	0	0	0	207	0
Arfgef2	68.125000	533	0	0	0	0	0	0	0	0	354	100	0	0	0	0	103	0
Akirin1	68.125000	236	0	75	0	0	0	0	0	0	478	177	0	0	0	0	124	0
Uhrf2	68.062500	502	0	0	0	0	0	0	0	0	315	99	0	0	0	0	173	0
Tor1a	68.062500	287	0	0	0	0	0	0	0	0	398	0	0	116	0	0	288	0
Tbl1x	68.062500	373	0	94	0	322	0	0	0	0	170	130	0	0	0	0	0	0
Sppl2b	68.062500	474	0	0	0	0	0	0	0	0	288	0	0	168	0	0	159	0
Slf1	68.062500	162	0	0	0	0	0	0	0	0	502	106	0	0	0	0	319	0
Pja2	68.062500	355	0	0	0	0	0	0	0	0	413	132	0	0	0	0	189	0
Pgs1	68.062500	496	0	0	0	0	0	0	0	0	285	143	0	0	0	0	165	0
Map4k5	68.062500	486	0	0	0	0	0	0	0	0	460	0	0	0	0	0	143	0
Ly6g6f	68.062500	361	0	0	0	0	0	0	0	0	492	0	0	0	0	0	236	0
Lsm7	68.062500	474	0	0	0	0	0	0	0	0	288	0	0	168	0	0	159	0
Atl1	68.062500	486	0	0	0	0	0	0	0	0	460	0	0	0	0	0	143	0
Anxa7	68.062500	540	0	0	0	0	0	0	0	0	251	195	0	0	0	0	103	0
Abhd16a	68.062500	361	0	0	0	0	0	0	0	0	492	0	0	0	0	0	236	0
2210408I21Rik	68.062500	162	0	0	0	0	0	0	0	0	502	106	0	0	0	0	319	0
Slirp	68.000000	246	0	0	0	0	0	0	0	0	447	106	0	0	0	0	289	0
Rasal1	68.000000	165	0	181	145	0	143	0	0	331	123	0	0	0	0	0	0	0
Nrp	68.000000	246	0	0	0	0	0	0	0	0	447	106	0	0	0	0	289	0
Ldlrad2	68.000000	823	0	0	0	0	0	0	0	0	137	0	0	0	0	0	128	0
Kat5	68.000000	258	0	71	0	0	0	0	0	0	403	156	0	103	0	0	97	0
Fuca1	68.000000	94	0	0	80	0	79	0	0	0	346	143	0	87	0	0	259	0
